time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal
2017-12-04T00:00:00Z,1500,1500,1500,1500,NaN,NaN,2240.42,NaN,NaN,NaN,NaN,NaN,0.0035,NaN,NaN,NaN,NaN
2017-12-05T00:00:00Z,1520,2000,1410.98,1438.53,NaN,NaN,2377,NaN,NaN,NaN,NaN,NaN,1584.31133163,NaN,NaN,NaN,NaN
2017-12-06T00:00:00Z,1430.3,1509.9,1305,1334.19,NaN,NaN,2310,NaN,NaN,NaN,NaN,NaN,4298.19029918,NaN,NaN,NaN,NaN
2017-12-07T00:00:00Z,1336.21,1367,1225.01,1230.09,NaN,NaN,2550,NaN,NaN,NaN,NaN,NaN,2715.16781927,NaN,NaN,NaN,NaN
2017-12-08T00:00:00Z,1227,1600,1125.1,1380,NaN,NaN,2547.82,NaN,NaN,NaN,NaN,NaN,6037.35501625,NaN,NaN,NaN,NaN
2017-12-09T00:00:00Z,1379,1465.1,1254.71,1360,NaN,NaN,2352.92,NaN,NaN,NaN,NaN,NaN,3279.6681227,NaN,NaN,NaN,NaN
2017-12-10T00:00:00Z,1354.06,1357.05,1220,1261.06,NaN,NaN,2385,NaN,NaN,NaN,NaN,NaN,3364.43942669,NaN,NaN,NaN,NaN
2017-12-11T00:00:00Z,1267.96,1420,1259.97,1386.09,NaN,NaN,2533.63,NaN,NaN,NaN,NaN,NaN,4049.3523106,NaN,NaN,NaN,NaN
2017-12-12T00:00:00Z,1370.48,1630,1370.37,1579.85,1562.55,NaN,2516.03,NaN,NaN,NaN,NaN,NaN,8112.81649601,NaN,NaN,NaN,NaN
2017-12-13T00:00:00Z,1579.84,1689,1440.01,1586.47,1562.55,NaN,2402.94,NaN,NaN,NaN,NaN,NaN,7438.97772459,NaN,NaN,NaN,NaN
2017-12-14T00:00:00Z,1586.47,2084,1530,1931.81,1604.55,NaN,2360.07,NaN,NaN,NaN,NaN,NaN,13645.89147822,NaN,NaN,NaN,NaN
2017-12-15T00:00:00Z,1931.81,1952.29,1611.52,1788.99,1604.55,NaN,2844.02,NaN,NaN,NaN,NaN,NaN,9121.17734025,NaN,NaN,NaN,NaN
2017-12-16T00:00:00Z,1788.99,1864.98,1727,1765,1604.55,NaN,2432,NaN,NaN,NaN,NaN,NaN,3877.06346809,NaN,NaN,NaN,NaN
2017-12-17T00:00:00Z,1761.5,1919.37,1725.25,1820.03,1652,NaN,2593.1,NaN,NaN,NaN,NaN,NaN,5031.00142703,NaN,NaN,NaN,NaN
2017-12-18T00:00:00Z,1829.56,2333.88,1499,2154,1776.94,NaN,2653,NaN,NaN,NaN,NaN,NaN,17250.62865259,NaN,NaN,NaN,NaN
2017-12-19T00:00:00Z,2154.85,2898.2,2079,2735,2079.085,NaN,2531.91,NaN,NaN,NaN,NaN,NaN,21541.28661192,NaN,NaN,NaN,NaN
2017-12-20T00:00:00Z,2734.91,4385,2696.01,3720,2877.685,NaN,2383.29,NaN,NaN,NaN,NaN,NaN,59431.70814156,NaN,NaN,NaN,NaN
2017-12-21T00:00:00Z,3720,3720,2825,3065,2912.505,NaN,1779.78,NaN,NaN,NaN,NaN,NaN,21376.38189869,NaN,NaN,NaN,NaN
2017-12-22T00:00:00Z,3065,3159.91,1770,2610.25,2942,NaN,1760.3,NaN,NaN,NaN,NaN,NaN,37417.6504902,NaN,NaN,NaN,NaN
2017-12-23T00:00:00Z,2650.38,3312,2512.45,3067.94,2942,NaN,1728.38,NaN,NaN,1935.7150000000001,NaN,NaN,16167.38383069,12287.022769308001,NaN,NaN,NaN
2017-12-24T00:00:00Z,3067.96,3104.2,2510,2900,2942,NaN,1759.44,NaN,NaN,2005.7150000000001,NaN,NaN,12335.51271193,12903.798229904502,NaN,NaN,NaN
2017-12-25T00:00:00Z,2900,2935.08,2653,2772.01,2942,NaN,2021.47,NaN,NaN,2072.389,NaN,NaN,6328.38609618,13141.001968132003,NaN,NaN,NaN
2017-12-26T00:00:00Z,2780.01,2930.8,2687.01,2924,2942,NaN,1770.1,NaN,NaN,2151.8795,NaN,NaN,6495.89885606,13250.887395976004,NaN,NaN,NaN
2017-12-27T00:00:00Z,2924,2925,2565,2716.89,3077.5,NaN,1605.58,NaN,NaN,2226.2195,NaN,NaN,10104.25774915,13620.341892470004,NaN,NaN,NaN
2017-12-28T00:00:00Z,2690.39,2730,2304,2498,3077.5,NaN,1615.58,NaN,NaN,2282.1195000000002,NaN,NaN,6151.15027711,13626.031655513003,NaN,NaN,NaN
2017-12-29T00:00:00Z,2490.63,2895,2298.57,2600,2745,2755.05,1655,NaN,NaN,2344.1195000000002,NaN,NaN,11900.49923078,14057.073210917002,NaN,481.49840396064565,NaN
2017-12-30T00:00:00Z,2600,2628.91,2120,2240.42,2541,2755.05,1634.78,NaN,NaN,2393.0875000000005,NaN,NaN,9515.13324204,14364.607901684503,NaN,417.0119258584382,NaN
2017-12-31T00:00:00Z,2232.58,2504,2189,2377,2716,2755.05,1604.8,NaN,NaN,2442.6330000000007,NaN,NaN,3199.3285286,14322.106712584504,NaN,372.6313298996324,NaN
2018-01-01T00:00:00Z,2377,2410,2250,2310,2612.1,2755.05,1626.3,NaN,NaN,2479.1405000000004,NaN,NaN,2772.40178606,14055.085977087005,NaN,328.268967482908,NaN
2018-01-02T00:00:00Z,2321.68,2699,2300.14,2550,2527.54,2755.05,1733.05,NaN,NaN,2527.3170000000005,NaN,NaN,7043.44137194,14035.309159454506,NaN,308.9164730825355,NaN
2018-01-03T00:00:00Z,2550,2758.98,2490.01,2547.82,2525.4,2802.5,1642.93,NaN,NaN,2558.1175000000007,NaN,NaN,6521.06629893,13679.067900490005,NaN,290.05994358842554,NaN
2018-01-04T00:00:00Z,2550,2555.01,2310,2352.92,2522.5,2802.5,1441.47,NaN,NaN,2586.3140000000008,NaN,NaN,11481.10400943,13797.064233949004,NaN,256.43320459915503,NaN
2018-01-05T00:00:00Z,2352.16,2513.97,2295.04,2385,2507.5,2822.485,1475.81,NaN,NaN,2617.3140000000008,NaN,NaN,6036.73615249,13905.047868169004,NaN,229.72424152096164,NaN
2018-01-06T00:00:00Z,2385,2630,2320,2533.63,2507.5,2877.685,1250.03,NaN,NaN,2652.9940000000006,NaN,NaN,5686.95939788,13937.845766711504,-104.47205454171404,218.03699988965946,322.5090544313735
2018-01-07T00:00:00Z,2519.09,2775,2495,2516.03,2447.5,2912.505,1186.37,NaN,NaN,2671.0955000000004,NaN,NaN,7429.08465534,13446.768566849001,-94.01397285996251,204.99158835642038,299.0055612163829
2018-01-08T00:00:00Z,2516.04,2569,2200,2402.94,2482,2942,1270.03,NaN,NaN,2654.4925000000007,NaN,NaN,5099.10113804,12624.659293155,-92.47379828812086,183.4133133562318,275.8871116443527
2018-01-09T00:00:00Z,2403.01,2498,2310,2360.07,2487.5,2942,1154,NaN,NaN,2586.4960000000005,NaN,NaN,3187.85092334,9812.466432244002,-91.91189077517356,160.99724817538572,252.90913895055928
2018-01-10T00:00:00Z,2374.94,2988,2280,2844.02,2594,2942,879.84,NaN,NaN,2575.4470000000006,NaN,NaN,12549.53883225,9371.124278922001,-58.16269077953294,180.20577547614312,238.36846625567605
2018-01-11T00:00:00Z,2867.42,2955,2330,2432,2594,2942,968.05,NaN,NaN,2566.5345000000007,3017.410883035312,2115.6581169646893,12531.0825028,8126.795879552001,-62.4276753454414,160.33387207387432,222.76154741931572
2018-01-12T00:00:00Z,2432,2649.99,2336.84,2593.1,2594,2942,952.9,NaN,NaN,2542.7925000000005,2931.2438259019814,2154.3411740980196,5520.16012327,7594.434694181002,-53.57817201178182,155.78883240458845,209.36700441637026
2018-01-13T00:00:00Z,2597.62,2849,2555.93,2653,2594,3077.5,1276.22,NaN,NaN,2530.4425,2887.085236635705,2173.7997633642954,5493.76126113,7252.347121641002,-43.30889940696815,155.23088015766007,198.53977956462822
2018-01-14T00:00:00Z,2659.25,2721,2450,2531.91,2594,3077.5,1300,NaN,NaN,2518.4375,2857.475876581487,2179.399123418513,2935.59741147,7082.707687405501,-44.139724399730824,143.36512406496468,187.5048484646955
2018-01-15T00:00:00Z,2531.91,2554.27,2342.12,2383.29,2594,2745,1240,NaN,NaN,2491.402,2779.11736077173,2203.68663922827,2952.46915825,6905.536202515001,-53.54061922747937,120.57907443034628,174.11969365782565
2018-01-16T00:00:00Z,2391.77,2405.67,1528.03,1779.78,2258.015,2420.015,1208.9,NaN,NaN,2444.5465,2850.884516743457,2038.2084832565429,15656.6809958,7183.1573648475005,-96.7282445494852,53.209387970969146,149.93763252045434
2018-01-17T00:00:00Z,1779.78,1925.47,1339.1,1760.3,2163.55,2325.55,1284,NaN,NaN,2407.6615,2910.3898264060276,1904.9331735939727,13686.03042485,7559.901372234502,-121.33687786913285,-1.7334648159617245,119.60341305317112
2018-01-18T00:00:00Z,1765.31,1910.94,1672.8,1728.38,2163.55,2221.6499999999996,1218.65,NaN,NaN,2364.0805,2938.558008227267,1789.6029917727333,7782.47492652,7354.000157021501,-133.52787416343634,-47.30642965112429,86.22144451231205
2018-01-19T00:00:00Z,1725,1879.96,1700,1759.44,2147.05,2163.55,1357.18,NaN,NaN,2340.0315,2970.722099938674,1709.340900061326,3559.85131541,7056.236060690001,-132.9730904670798,-79.99491857153771,52.9781718955421
2018-01-20T00:00:00Z,1760.85,2111.32,1756.07,2021.47,2094.05,2163.55,1357.45,NaN,NaN,2322.255,2967.646020157551,1676.8639798424495,3529.44636503,7072.741952511501,-109.41554309463844,-83.79125697275595,25.624286121882488
2018-01-21T00:00:00Z,2024.88,2024.93,1700,1770.1,2094.05,2163.55,1537.09,NaN,NaN,2295.26,2984.1428932409394,1606.377106759061,4342.18887801,7151.231307109,-105.18984309666592,-105.86301774894991,-0.6731746522839934
2018-01-22T00:00:00Z,1774.92,1821.31,1505.9,1605.58,2030.05,2163.55,1546.02,NaN,NaN,2248.039,2988.169769658987,1507.9082303410135,5597.82447226,7078.950462125,-107.52017565672317,-135.07339422318796,-27.55321856646479
2018-01-23T00:00:00Z,1605.58,1698.15,1481.67,1615.58,1946.685,2163.55,1442.34,NaN,NaN,2201.4270000000006,2976.7527313955225,1426.1012686044785,3434.81385875,6924.637840116001,-102.45502361033041,-155.62199807937782,-53.1669744690474
