time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal
2017-12-20T00:00:00Z,3511.01,4290,3500,3745.89,NaN,NaN,2400.06,NaN,NaN,NaN,NaN,NaN,2580,NaN,NaN,NaN,NaN
2017-12-21T00:00:00Z,3745.89,3749.94,2910.01,3162.53,NaN,NaN,1890.01,NaN,NaN,NaN,NaN,NaN,17488,NaN,NaN,NaN,NaN
2017-12-22T00:00:00Z,3162.53,3221.87,1550,2719.99,NaN,NaN,1755.98,NaN,NaN,NaN,NaN,NaN,32828,NaN,NaN,NaN,NaN
2017-12-23T00:00:00Z,2731.8,3499.77,2555,3160,NaN,NaN,1730.67,NaN,NaN,NaN,NaN,NaN,21996,NaN,NaN,NaN,NaN
2017-12-24T00:00:00Z,3162,3164.99,2669,2919.01,NaN,NaN,1758.69,NaN,NaN,NaN,NaN,NaN,12241,NaN,NaN,NaN,NaN
2017-12-25T00:00:00Z,2919.99,2968.16,2761,2835.99,NaN,NaN,2030.22,NaN,NaN,NaN,NaN,NaN,6287,NaN,NaN,NaN,NaN
2017-12-26T00:00:00Z,2835.99,2949,2773.88,2928.04,NaN,NaN,1770,NaN,NaN,NaN,NaN,NaN,6470,NaN,NaN,NaN,NaN
2017-12-27T00:00:00Z,2928.11,2938.01,2542,2719.69,NaN,NaN,1609.34,NaN,NaN,NaN,NaN,NaN,6745,NaN,NaN,NaN,NaN
2017-12-28T00:00:00Z,2714.97,2723.8,2303,2493.19,2920,NaN,1615.75,NaN,NaN,NaN,NaN,NaN,8985,NaN,NaN,NaN,NaN
2017-12-29T00:00:00Z,2499.99,2888,2330.59,2658.51,2649.9700000000003,NaN,1644.5,NaN,NaN,NaN,NaN,NaN,8025,NaN,NaN,NaN,NaN
2017-12-30T00:00:00Z,2658.51,2672,2187,2261,2524.885,NaN,1628.39,NaN,NaN,NaN,NaN,NaN,7020,NaN,NaN,NaN,NaN
2017-12-31T00:00:00Z,2254.11,2497.99,2207.91,2366.9,2843.385,NaN,1592.14,NaN,NaN,NaN,NaN,NaN,4979,NaN,NaN,NaN,NaN
2018-01-01T00:00:00Z,2366.9,2425.68,2257.03,2326.86,2675.995,NaN,1613.41,NaN,NaN,NaN,NaN,NaN,3253,NaN,NaN,NaN,NaN
2018-01-02T00:00:00Z,2326.86,2696,2301.67,2558.58,2577.58,NaN,1719.99,NaN,NaN,NaN,NaN,NaN,7139,NaN,NaN,NaN,NaN
2018-01-03T00:00:00Z,2555.01,2780,2519,2548.65,2568,NaN,1636.38,NaN,NaN,NaN,NaN,NaN,6289,NaN,NaN,NaN,NaN
2018-01-04T00:00:00Z,2548.59,2550,2328.86,2362.74,2562.505,NaN,1446,NaN,NaN,NaN,NaN,NaN,6369,NaN,NaN,NaN,NaN
2018-01-05T00:00:00Z,2362.74,2512,2310.02,2398,2537.5,NaN,1472.74,NaN,NaN,NaN,NaN,NaN,6355,NaN,NaN,NaN,NaN
2018-01-06T00:00:00Z,2395,2624.97,2325,2524.72,2537.5,NaN,1254.86,NaN,NaN,NaN,NaN,NaN,7001,NaN,NaN,NaN,NaN
2018-01-07T00:00:00Z,2524.72,2745.01,2489.01,2523.1,2483.5,NaN,1181,NaN,NaN,NaN,NaN,NaN,5486,NaN,NaN,NaN,NaN
2018-01-08T00:00:00Z,2523.49,2549.67,2225,2409.29,2493.955,NaN,1269.71,NaN,NaN,2681.134,NaN,NaN,6065,9180.05,NaN,NaN,NaN
2018-01-09T00:00:00Z,2408.76,2484.82,2325.01,2375.99,2502.5,NaN,1156.16,NaN,NaN,2612.639,NaN,NaN,4420,9272.05,NaN,NaN,NaN
2018-01-10T00:00:00Z,2368.78,2956,2311,2859.97,2590.5,NaN,880,NaN,NaN,2597.511,NaN,NaN,13062,9050.75,NaN,NaN,NaN
2018-01-11T00:00:00Z,2857.56,2945.04,2351,2433.8,2590.5,NaN,968.01,NaN,NaN,2583.2015,NaN,NaN,11266,7972.65,NaN,NaN,NaN
2018-01-12T00:00:00Z,2433.8,2630,2380,2599,2590.5,NaN,955,NaN,NaN,2555.1515000000004,NaN,NaN,4832,7114.45,NaN,NaN,NaN
2018-01-13T00:00:00Z,2593.85,2835.18,2570.37,2654.95,2590.5,NaN,1278,NaN,NaN,2541.9485,NaN,NaN,5279,6766.35,NaN,NaN,NaN
2018-01-14T00:00:00Z,2654.94,2711.64,2463.14,2544.87,2590.5,2920,1299.83,NaN,NaN,2527.3925000000004,NaN,NaN,3280,6616,NaN,-84.63153934565389,NaN
2018-01-15T00:00:00Z,2544.88,2547.89,2375,2400.06,2590.5,2649.9700000000003,1239.7,NaN,NaN,2500.9935,NaN,NaN,3658,6475.4,NaN,-92.13635183291035,NaN
2018-01-16T00:00:00Z,2400.2,2411.62,1520,1890.01,2238,2509.885,1210,NaN,NaN,2459.5095,NaN,NaN,16225,6949.4,NaN,-137.65395304847698,NaN
2018-01-17T00:00:00Z,1890.01,2150,1319.3,1755.98,2137.65,2409.535,1279.39,NaN,NaN,2422.6490000000003,NaN,NaN,15295,7264.9,NaN,-182.43903715698661,NaN
2018-01-18T00:00:00Z,1755.98,2000,1697.56,1730.67,2137.65,2242.145,1219.82,NaN,NaN,2376.257,NaN,NaN,7265,7226.9,NaN,-217.46702000944333,NaN
2018-01-19T00:00:00Z,1733.69,1892,1711.65,1758.69,2132.17,2143.73,1355,NaN,NaN,2351.1415,NaN,NaN,4703,7111.05,NaN,-240.1971260048499,NaN
2018-01-20T00:00:00Z,1758.69,2115.82,1758.69,2030.22,2077.24,2137.65,1358.72,NaN,NaN,2334.3075,NaN,NaN,5794,7151.8,NaN,-233.60781160233546,NaN
2018-01-21T00:00:00Z,2030,2030.73,1714.08,1770,2077.24,2137.65,1533,NaN,NaN,2306.4645,NaN,NaN,4908,7234.55,NaN,-246.5413366533303,NaN
2018-01-22T00:00:00Z,1773,1799,1505.08,1609.34,2015.4699999999998,2137.65,1546.35,NaN,NaN,2259.0024999999996,NaN,NaN,5572,7156.2,-77.64156695387283,-266.6810347798553,-189.03946782598246
2018-01-23T00:00:00Z,1612.9,1687.69,1489,1615.75,1933.5949999999998,2137.65,1452.97,NaN,NaN,2212.3574999999996,NaN,NaN,4142,7048.85,-71.8960748637819,-278.90956140570984,-207.01348654192793
2018-01-24T00:00:00Z,1613.22,1667,1560,1644.5,1865.46,2137.65,1523.14,NaN,NaN,2176.4455,NaN,NaN,2921,6876.45,-60.8039404072355,-283.0184120509723,-222.2144716437368
2018-01-25T00:00:00Z,1647.31,1695,1587.95,1628.39,1734.65,2137.65,1386.99,NaN,NaN,2137.9649999999997,NaN,NaN,2382,6677.8,-49.666378033465406,-284.29744418556857,-234.63106615210316
2018-01-26T00:00:00Z,1628.39,1660,1482.34,1592.14,1799.08,2137.65,1284.73,NaN,NaN,2091.336,NaN,NaN,4446,6550.05,-40.25627977212113,-284.9514158672546,-244.69513609513345
2018-01-27T00:00:00Z,1592.14,1645,1559,1613.41,1799.08,2137.65,1210,NaN,NaN,2045.8515,2891.5497167244994,1200.1532832755006,2937,6422.6,-28.659671222812875,-280.51972512364955,-251.86005390083668
