time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal
2019-01-01T00:00:00Z,147.99,152.91,146.11,151.35,NaN,NaN,162.4,NaN,NaN,NaN,NaN,NaN,3842.55478,NaN,NaN,NaN,NaN
2019-01-01T01:00:00Z,151.22,151.83,149.23,149.79,NaN,NaN,161.81,NaN,NaN,NaN,NaN,NaN,1269.70896,NaN,NaN,NaN,NaN
2019-01-01T02:00:00Z,149.88,152.95,149.79,151.82,NaN,NaN,162.3,NaN,NaN,NaN,NaN,NaN,2364.59216,NaN,NaN,NaN,NaN
2019-01-01T03:00:00Z,152,159.92,152,158.9,NaN,NaN,161.84,NaN,NaN,NaN,NaN,NaN,3628.23758,NaN,NaN,NaN,NaN
2019-01-01T04:00:00Z,158.91,165,158.15,159.28,NaN,NaN,159.94,NaN,NaN,NaN,NaN,NaN,7549.1106,NaN,NaN,NaN,NaN
2019-01-01T05:00:00Z,159.28,160.43,158.01,158.49,NaN,NaN,160.92,NaN,NaN,NaN,NaN,NaN,1612.49766,NaN,NaN,NaN,NaN
2019-01-01T06:00:00Z,158.38,159.96,157,158.87,NaN,NaN,162.36,NaN,NaN,NaN,NaN,NaN,1443.17505,NaN,NaN,NaN,NaN
2019-01-01T07:00:00Z,159.15,162.65,159.05,161.77,NaN,NaN,162.01,NaN,NaN,NaN,NaN,NaN,1309.77262,NaN,NaN,NaN,NaN
2019-01-01T08:00:00Z,161.76,163,160.38,161.74,155.555,NaN,162.67,NaN,NaN,NaN,NaN,NaN,1955.59202,NaN,NaN,NaN,NaN
2019-01-01T09:00:00Z,161.72,161.91,158.07,158.07,157.115,NaN,163.49,NaN,NaN,NaN,NaN,NaN,871.94929,NaN,NaN,NaN,NaN
2019-01-01T10:00:00Z,158.39,160.46,158.33,159.96,157.39499999999998,NaN,163.05,NaN,NaN,NaN,NaN,NaN,325.63669,NaN,NaN,NaN,NaN
2019-01-01T11:00:00Z,159.82,161,158.9,159.18,158.5,NaN,165.63,NaN,NaN,NaN,NaN,NaN,384.04926,NaN,NaN,NaN,NaN
2019-01-01T12:00:00Z,159.18,159.48,158.75,159.35,161,NaN,164.22,NaN,NaN,NaN,NaN,NaN,273.49979,NaN,NaN,NaN,NaN
2019-01-01T13:00:00Z,159.36,160.18,158.28,158.83,160,NaN,162.17,NaN,NaN,NaN,NaN,NaN,756.23484,NaN,NaN,NaN,NaN
2019-01-01T14:00:00Z,158.51,158.55,156.3,156.52,159.65,NaN,163.97,NaN,NaN,NaN,NaN,NaN,1281.70771,NaN,NaN,NaN,NaN
2019-01-01T15:00:00Z,156.51,157,154.15,156,158.575,NaN,164.3,NaN,NaN,NaN,NaN,NaN,1306.65151,NaN,NaN,NaN,NaN
2019-01-01T16:00:00Z,156.01,158.47,156,158.4,158.575,NaN,164,NaN,NaN,NaN,NaN,NaN,624.61203,NaN,NaN,NaN,NaN
2019-01-01T17:00:00Z,158.4,158.49,156.5,157.27,158.03,NaN,164,NaN,NaN,NaN,NaN,NaN,349.55434,NaN,NaN,NaN,NaN
2019-01-01T18:00:00Z,157,157.3,154.07,155.32,157.535,NaN,164.85,NaN,NaN,NaN,NaN,NaN,1214.32561,NaN,NaN,NaN,NaN
2019-01-01T19:00:00Z,155.34,160.3,155.34,159.17,157.535,NaN,166.66,NaN,NaN,157.50400000000002,NaN,NaN,2105.10623,1723.4284364999999,NaN,NaN,NaN
2019-01-01T20:00:00Z,159.16,162.51,158.99,161.61,158.29,NaN,166.95,NaN,NaN,158.01700000000002,NaN,NaN,3620.40717,1712.321056,NaN,NaN,NaN
2019-01-01T21:00:00Z,161.6,162.01,159.47,159.48,158.29,NaN,170,NaN,NaN,158.50150000000002,NaN,NaN,1233.52275,1710.5117455,NaN,NaN,NaN
2019-01-01T22:00:00Z,159.48,160.76,159.03,160.52,158.29,NaN,168.9,NaN,NaN,158.93650000000002,NaN,NaN,1154.88529,1650.026402,NaN,NaN,NaN
2019-01-01T23:00:00Z,160.51,165,160.07,163.66,159.535,NaN,170.07,NaN,NaN,159.17450000000002,NaN,NaN,4035.12467,1670.3707564999997,NaN,NaN,NaN
2019-01-02T00:00:00Z,163.6,164.1,161,162.37,159.535,NaN,170.41,NaN,NaN,159.329,NaN,NaN,1469.31596,1366.3810244999997,NaN,NaN,NaN
2019-01-02T01:00:00Z,162.37,166,162.04,162.2,160.035,156.055,170.12,NaN,NaN,159.5145,NaN,NaN,2865.21229,1429.0167559999995,NaN,1.7869460983247336,NaN
2019-01-02T02:00:00Z,162.2,163.39,162.2,162.4,160.035,157.615,168.41,NaN,NaN,159.691,NaN,NaN,954.02355,1404.5591809999996,NaN,1.8264560345456573,NaN
2019-01-02T03:00:00Z,162.4,163.29,161.81,161.81,160.67000000000002,157.89499999999998,167.45,NaN,NaN,159.693,NaN,NaN,1179.00938,1398.0210189999996,NaN,1.7895312719319065,NaN
2019-01-02T04:00:00Z,161.84,162.85,161.53,162.3,162.495,159,166.97,NaN,NaN,159.721,NaN,NaN,676.50512,1334.0666739999997,NaN,1.7792964149332988,NaN
2019-01-02T05:00:00Z,162.31,162.9,161.67,161.84,162.515,160.035,167.49,NaN,NaN,159.9095,NaN,NaN,409.51747,1310.9450829999996,NaN,1.714305613410943,NaN
2019-01-02T06:00:00Z,161.92,161.93,159.51,159.94,162.515,160.035,164.59,NaN,NaN,159.9085,NaN,NaN,1178.3929,1353.5828934999995,NaN,1.4922836963958446,NaN
2019-01-02T07:00:00Z,160.05,162.59,160.01,160.92,162.755,160.035,164.25,NaN,NaN,159.99550000000002,NaN,NaN,628.43591,1365.8022259999996,NaN,1.3795054571800733,NaN
2019-01-02T08:00:00Z,160.71,163.5,160.71,162.36,162.755,160.035,163.54,NaN,NaN,160.14600000000002,NaN,NaN,770.26652,1390.6405624999995,NaN,1.3902973728123982,NaN
2019-01-02T09:00:00Z,162.15,162.61,161.59,162.01,162.755,160.035,162.79,NaN,NaN,160.305,NaN,NaN,336.27432,1369.6425364999996,-0.25763488017678227,1.3549885047429768,1.612623384919759
2019-01-02T10:00:00Z,162.01,163.11,161.01,162.67,161.505,160.035,164.1,NaN,NaN,160.6125,NaN,NaN,449.29004,1328.0216529999996,-0.19847233203441994,1.3645329698767341,1.563005301911154
2019-01-02T11:00:00Z,162.67,165,162.01,163.49,162.255,160.035,161.6,NaN,NaN,160.98700000000002,NaN,NaN,1843.59544,1354.8688494999997,-0.11290528207819639,1.4218736993134087,1.534778981391605
2019-01-02T12:00:00Z,163.49,163.56,162.01,163.05,162.255,160.035,162.31,NaN,NaN,161.21950000000004,NaN,NaN,879.71438,1367.6239669999998,-0.09542689051081199,1.4154953682530902,1.5109222587639022
2019-01-02T13:00:00Z,163.05,166.04,163.05,165.63,162.77499999999998,160.055,162.26,NaN,NaN,161.63750000000005,NaN,NaN,2662.32959,1483.2627294999998,0.07140544482302547,1.600179064792684,1.5287736199696584
2019-01-02T14:00:00Z,165.5,165.62,163.26,164.22,162.77499999999998,160.055,156.99,NaN,NaN,162.08250000000004,165.15581661238508,159.009183387615,2610.08368,1553.0506329999998,0.06830908586234474,1.6141599772975894,1.5458508914352447
2019-01-02T15:00:00Z,164.36,164.36,161.01,162.17,163.02499999999998,160.055,158.93,NaN,NaN,162.23250000000002,165.00022018093566,159.46477981906438,2900.99879,1592.845261,-0.08213196543056922,1.4431859346470333,1.5253179000776025
2019-01-02T16:00:00Z,162.46,165.5,162.12,163.97,163.375,160.055,159.17,NaN,NaN,162.3505,165.20196611412396,159.49903388587606,4668.9451,1645.2721575,-0.07115424577462437,1.436375092859322,1.5075293386339463
2019-01-02T17:00:00Z,164.08,164.97,163,164.3,163.52499999999998,160.055,157.76,NaN,NaN,162.59150000000002,165.239270949306,159.94372905069406,1805.76358,1673.884199,-0.05322762878621656,1.4409948026511756,1.4942224314373922
2019-01-02T18:00:00Z,164.3,164.55,163.14,164,163.52499999999998,160.055,160.31,NaN,NaN,162.76550000000003,165.30087748668637,160.2301225133137,1510.66757,1691.673313,-0.07196913212945821,1.4042610162755693,1.4762301484050275
2019-01-02T19:00:00Z,164.18,164.45,163.32,164,163.52499999999998,160.055,160.57,NaN,NaN,162.78250000000003,165.34604344607988,160.21895655392018,797.52607,1529.793383,-0.09340171098765881,1.359478009670454,1.4528797206581128
2019-01-02T20:00:00Z,164,164.85,163.06,164.85,163.52499999999998,160.69,161.29,NaN,NaN,162.90650000000002,165.61410613827033,160.19889386172972,1837.23859,1548.1895145,-0.06093957700685082,1.3767052493995493,1.4376448264064001
2019-01-02T21:00:00Z,164.85,167.21,164.47,166.66,164.11,163.10000000000002,159.88,NaN,NaN,163.12950000000004,166.26799310975628,159.9910068902438,4080.0696,1608.93238,0.06500485105070597,1.5189008902197827,1.4538960391690767
2019-01-02T22:00:00Z,166.61,167.54,165.08,166.95,164.27499999999998,163.285,159.58,NaN,NaN,163.35700000000003,166.88629511375572,159.82770488624433,3388.61299,1730.661852,0.14578894674298537,1.6361322225978085,1.4903432758548232
2019-01-02T23:00:00Z,166.96,173.22,166.95,170,167.115,166.125,160.37,NaN,NaN,163.7665,168.25341553297065,159.27958446702937,6464.6606,1994.944413,0.36983705486118446,1.9526395944313037,1.5828025395701193
2019-01-03T00:00:00Z,169.95,174.99,168.17,168.9,168.555,167.25,158.87,NaN,NaN,164.09650000000002,169.05000895830437,159.14299104169567,5987.9706,2260.517687,0.4062490601316697,2.0906138647347063,1.6843648046030366
2019-01-03T01:00:00Z,168.9,170.56,167.35,170.07,168.995,167.25,161.39,NaN,NaN,164.508,169.9832263880157,159.0327736119843,3345.44457,2407.314042,0.46708578685061086,2.2682220381663,1.8011362513156892
2019-01-03T02:00:00Z,170.08,172.21,169.34,170.41,169.025,167.25,160.8,NaN,NaN,165.0315,170.65958057867425,159.40341942132574,2139.09639,2455.3492165,0.48600905008681283,2.4086475639242053,1.9226385138373925
2019-01-03T03:00:00Z,170.4,170.74,169.67,170.12,169.025,167.25,162,158.04500000000002,NaN,165.4915,171.20346734934907,159.77953265065094,1878.10334,2517.832588,0.43635693654289787,2.4680846845160147,2.031727747973117
2019-01-03T04:00:00Z,170.2,170.6,168.1,168.41,169.025,167.25,161.5,158.825,NaN,165.79399999999998,171.45110314560827,160.1368968543917,1581.67779,2558.4031515,0.2547103228518419,2.3501156515379193,2.0954053286860774
2019-01-03T05:00:00Z,168.43,168.45,166.4,167.45,169.73000000000002,167.25,161.35,159.2825,NaN,166.06599999999997,171.4874035083265,160.64459649167344,1534.81922,2618.3303965000005,0.047137040788305384,2.154326629671459,2.1071895888831538
2019-01-03T06:00:00Z,167.43,168.19,166.69,166.97,170.03500000000003,167.25,158.46,160.7475,NaN,166.28099999999998,171.48326835141117,161.07873164858879,772.95629,2634.5137090000003,-0.1352801965020447,1.938089343255598,2.0733695397576426
2019-01-03T07:00:00Z,166.96,169.31,166.75,167.49,170.695,167.25,158.2,161.27499999999998,NaN,166.48099999999994,171.54439767350854,161.41760232649133,1064.46957,2595.5574155000004,-0.22824150452332237,1.7880676591034899,2.0163091636268122
2019-01-03T08:00:00Z,167.5,167.51,164.26,164.59,169.625,167.5,159,161.27499999999998,NaN,166.55799999999994,171.4544378889278,161.66156211107207,1537.65893,2628.4546430000005,-0.47799658544939594,1.4188134318150674,1.8968100172644633
2019-01-03T09:00:00Z,164.28,164.86,162.5,164.25,167.35500000000002,167.85000000000002,158.13,161.39499999999998,NaN,166.48899999999995,171.47389678931677,161.50410321068313,793.80402,2535.028364500001,-0.6484717213089817,1.086220365628236,1.7346920869372178
2019-01-03T10:00:00Z,164.24,164.5,163.47,163.54,167.35500000000002,168,157.81,161.39499999999998,NaN,166.45499999999996,171.51011819843086,161.39988180156905,361.43521,2422.5959410000005,-0.7824536725774256,0.7566249962154359,1.5390786687928615
2019-01-03T11:00:00Z,163.53,163.55,161,162.79,165.87,167.995,157.03,161.39499999999998,NaN,166.48599999999993,171.4422663366798,161.52973366332006,1889.02905,2371.9974540000007,-0.8873081838132353,0.42994343902631726,1.3172516228395525
2019-01-03T12:00:00Z,162.62,164.34,161.78,164.1,165.8,167.995,153.43,160.76999999999998,NaN,166.49249999999995,171.43587485935603,161.54912514064387,847.75401,2180.9378995000006,-0.8349227908867445,0.273598134231122,1.1085209251178665
2019-01-03T13:00:00Z,164,164.01,161.54,161.6,165.155,167.995,155.88,161.14499999999998,NaN,166.35749999999993,171.66692134325092,161.04807865674894,929.88422,2137.1439315000007,-0.9279709423518009,-0.051442752821884596,0.8765281895299163
2019-01-03T14:00:00Z,161.71,162.85,161.5,162.31,165.155,167.995,156.93,161.14499999999998,NaN,166.27299999999994,171.7799305425227,160.7660694574772,832.32705,2103.2269055000006,-0.9003265497293758,-0.24887999763180346,0.6514465520975723
