time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal
2016-06-25T00:00:00Z,14.42,14.836,13.913,14.33,NaN,NaN,12.631,NaN,NaN,NaN,NaN,NaN,59370.26109358,NaN,NaN,NaN,NaN
2016-06-26T00:00:00Z,14.33,14.4,13.525,13.754,NaN,NaN,14.62,NaN,NaN,NaN,NaN,NaN,61784.86736264,NaN,NaN,NaN,NaN
2016-06-27T00:00:00Z,13.744,14.188,13.682,14.031,NaN,NaN,14.26,NaN,NaN,NaN,NaN,NaN,39441.587446,NaN,NaN,NaN,NaN
2016-06-28T00:00:00Z,14.043,14.079,11.513,12.114,NaN,NaN,12.771,NaN,NaN,NaN,NaN,NaN,260077.77448764,NaN,NaN,NaN,NaN
2016-06-29T00:00:00Z,12.12,13.045,11.57,12.62,NaN,NaN,13.782,NaN,NaN,NaN,NaN,NaN,136304.15517567,NaN,NaN,NaN,NaN
2016-06-30T00:00:00Z,12.6,12.884,12.2,12.41,NaN,NaN,11.804,NaN,NaN,NaN,NaN,NaN,61631.62527238,NaN,NaN,NaN,NaN
2016-07-01T00:00:00Z,12.479,12.58,11.74,12.194,NaN,NaN,13,NaN,NaN,NaN,NaN,NaN,88143.26159312,NaN,NaN,NaN,NaN
2016-07-02T00:00:00Z,12.19,12.213,11.95,12.136,NaN,NaN,12.834,NaN,NaN,NaN,NaN,NaN,25168.05782674,NaN,NaN,NaN,NaN
2016-07-03T00:00:00Z,12.125,12.147,11.56,11.763,13.1745,NaN,12.86,NaN,NaN,NaN,NaN,NaN,56409.20211553,NaN,NaN,NaN,NaN
2016-07-04T00:00:00Z,11.753,11.85,11.351,11.471,12.8755,NaN,12.431,NaN,NaN,NaN,NaN,NaN,42460.63076079,NaN,NaN,NaN,NaN
2016-07-05T00:00:00Z,11.47,11.485,9.353,10.588,11.7705,NaN,11.876,NaN,NaN,NaN,NaN,NaN,321769.00259146,NaN,NaN,NaN,NaN
2016-07-06T00:00:00Z,10.58,11.12,10.221,10.578,11.716000000000001,NaN,10.983,NaN,NaN,NaN,NaN,NaN,95985.54012177,NaN,NaN,NaN,NaN
2016-07-07T00:00:00Z,10.578,10.669,9.729,10.14,11.199,NaN,10.165,NaN,NaN,NaN,NaN,NaN,83616.95588422,NaN,NaN,NaN,NaN
2016-07-08T00:00:00Z,10.127,11.649,9.902,11.38,11.118500000000001,NaN,11.92,NaN,NaN,NaN,NaN,NaN,175241.63939634,NaN,NaN,NaN,NaN
2016-07-09T00:00:00Z,11.37,11.436,10.395,10.902,10.9665,NaN,11.71,NaN,NaN,NaN,NaN,NaN,135106.67105954,NaN,NaN,NaN,NaN
2016-07-10T00:00:00Z,10.842,11.02,10.736,10.96,10.783,NaN,11.69,NaN,NaN,NaN,NaN,NaN,22276.63975757,NaN,NaN,NaN,NaN
2016-07-11T00:00:00Z,10.95,11.087,10.201,10.501,10.75,NaN,11.49,NaN,NaN,NaN,NaN,NaN,82724.2934799,NaN,NaN,NaN,NaN
