time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal
2016-06-25T00:00:00Z,14.42,14.836,14.401,14.63,NaN,NaN,11.881,NaN,NaN,NaN,NaN,NaN,13237.07838908,NaN,NaN,NaN,NaN
2016-06-25T04:00:00Z,14.63,14.684,14.25,14.38,NaN,NaN,12.44,NaN,NaN,NaN,NaN,NaN,6238.79598392,NaN,NaN,NaN,NaN
2016-06-25T08:00:00Z,14.272,14.417,14.2,14.25,NaN,NaN,12.7,NaN,NaN,NaN,NaN,NaN,3641.49334692,NaN,NaN,NaN,NaN
2016-06-25T12:00:00Z,14.258,14.64,14.147,14.54,NaN,NaN,12.62,NaN,NaN,NaN,NaN,NaN,9836.15192402,NaN,NaN,NaN,NaN
2016-06-25T16:00:00Z,14.54,14.564,13.913,14.181,NaN,NaN,12.583,NaN,NaN,NaN,NaN,NaN,19368.47069374,NaN,NaN,NaN,NaN
2016-06-25T20:00:00Z,14.15,14.391,13.97,14.33,NaN,NaN,12.604,NaN,NaN,NaN,NaN,NaN,7048.2707559,NaN,NaN,NaN,NaN
2016-06-26T00:00:00Z,14.33,14.4,14.22,14.221,NaN,NaN,12.39,NaN,NaN,NaN,NaN,NaN,2997.34562467,NaN,NaN,NaN,NaN
2016-06-26T04:00:00Z,14.252,14.283,14,14.085,NaN,NaN,12.482,NaN,NaN,NaN,NaN,NaN,4906.41723194,NaN,NaN,NaN,NaN
2016-06-26T08:00:00Z,14.07,14.1,13.822,13.97,14.329,NaN,12.4,NaN,NaN,NaN,NaN,NaN,10593.95260963,NaN,NaN,NaN,NaN
2016-06-26T12:00:00Z,13.931,14.162,13.55,13.875,14.117,NaN,12.41,NaN,NaN,NaN,NaN,NaN,24438.92659915,NaN,NaN,NaN,NaN
2016-06-26T16:00:00Z,13.821,14,13.544,13.657,14.092,NaN,12.41,NaN,NaN,NaN,NaN,NaN,15739.15389596,NaN,NaN,NaN,NaN
2016-06-26T20:00:00Z,13.676,13.804,13.525,13.754,14.0825,NaN,12.239,NaN,NaN,NaN,NaN,NaN,3109.07140129,NaN,NaN,NaN,NaN
2016-06-27T00:00:00Z,13.744,14.129,13.682,13.88,14.0445,NaN,12.01,NaN,NaN,NaN,NaN,NaN,7493.40831343,NaN,NaN,NaN,NaN
2016-06-27T04:00:00Z,13.88,14.05,13.83,14.05,13.9625,NaN,11.999,NaN,NaN,NaN,NaN,NaN,3176.27638126,NaN,NaN,NaN,NaN
2016-06-27T08:00:00Z,13.981,14.188,13.78,13.979,13.9625,NaN,12.145,NaN,NaN,NaN,NaN,NaN,13275.08422738,NaN,NaN,NaN,NaN
2016-06-27T12:00:00Z,13.899,14.008,13.82,13.82,13.904,NaN,12.194,NaN,NaN,NaN,NaN,NaN,1558.79591044,NaN,NaN,NaN,NaN
2016-06-27T16:00:00Z,13.82,13.989,13.75,13.869,13.8565,NaN,12.155,NaN,NaN,NaN,NaN,NaN,10866.97336514,NaN,NaN,NaN,NaN
2016-06-27T20:00:00Z,13.886,14.043,13.771,14.031,13.8565,NaN,12.066,NaN,NaN,NaN,NaN,NaN,3071.04924835,NaN,NaN,NaN,NaN
2016-06-28T00:00:00Z,14.043,14.079,13.8,13.851,13.8565,NaN,11.951,NaN,NaN,NaN,NaN,NaN,7747.02330431,NaN,NaN,NaN,NaN
2016-06-28T04:00:00Z,13.882,13.931,13.6,13.637,13.8565,NaN,12.098,NaN,NaN,14.049500000000004,NaN,NaN,9298.13799572,8882.093860112498,NaN,NaN,NaN
2016-06-28T08:00:00Z,13.739,13.78,13.609,13.631,13.894,NaN,12.123,NaN,NaN,13.999550000000005,NaN,NaN,1934.28126252,8316.954003784498,NaN,NaN,NaN
2016-06-28T12:00:00Z,13.632,13.687,12.02,12.866,13.104,NaN,12.136,NaN,NaN,13.923850000000005,NaN,NaN,81258.37268659,12067.932838917997,NaN,NaN,NaN
2016-06-28T16:00:00Z,12.866,13.138,11.513,11.95,12.8505,NaN,12.087,NaN,NaN,13.808850000000003,NaN,NaN,117557.6741282,17763.741877981996,NaN,NaN,NaN
2016-06-28T20:00:00Z,11.959,12.484,11.853,12.114,12.796,NaN,12,NaN,NaN,13.687550000000002,NaN,NaN,42282.2851103,19386.048537295996,NaN,NaN,NaN
2016-06-29T00:00:00Z,12.12,12.411,11.57,12,12.796,NaN,12.039,NaN,NaN,13.578500000000002,NaN,NaN,28831.13570729,19859.181787973495,NaN,NaN,NaN
