time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal
2016-05-23T00:00:00Z,13.91,13.91,13.61,13.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
2016-05-24T00:00:00Z,13.68,13.74,12,12.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2754,NaN,NaN,NaN,NaN
2016-05-25T00:00:00Z,13,13.18,11.93,12.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9696,NaN,NaN,NaN,NaN
2016-05-26T00:00:00Z,12.61,12.95,12.15,12.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2993,NaN,NaN,NaN,NaN
2016-05-27T00:00:00Z,12.47,12.47,10.25,10.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19329,NaN,NaN,NaN,NaN
2016-05-28T00:00:00Z,11.3,12.44,10.7,12.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15673,NaN,NaN,NaN,NaN
2016-05-29T00:00:00Z,12.02,12.49,11.7,12.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3385,NaN,NaN,NaN,NaN
2016-05-30T00:00:00Z,12.35,12.88,12,12.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4124,NaN,NaN,NaN,NaN
2016-05-31T00:00:00Z,12.84,14.24,12.37,14.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5807,NaN,NaN,NaN,NaN
2016-06-01T00:00:00Z,14.15,14.45,13.5,13.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10389,NaN,NaN,NaN,NaN
2016-06-02T00:00:00Z,13.93,14.18,13.76,14.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8048,NaN,NaN,NaN,NaN
2016-06-03T00:00:00Z,14.03,14.12,13.49,13.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13004,NaN,NaN,NaN,NaN
2016-06-04T00:00:00Z,13.98,14.03,13.56,13.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6250,NaN,NaN,NaN,NaN
2016-06-05T00:00:00Z,13.97,14.06,13.8,14.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1953,NaN,NaN,NaN,NaN
2016-06-06T00:00:00Z,14.02,14.3,13.83,14.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5142,NaN,NaN,NaN,NaN
2016-06-07T00:00:00Z,14.21,14.69,13.97,14.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13016,NaN,NaN,NaN,NaN
2016-06-08T00:00:00Z,14.53,14.87,14.4,14.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12617,NaN,NaN,NaN,NaN
