time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal
2016-05-23T20:00:00Z,13.91,13.91,13.61,13.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78673,NaN,NaN,NaN,NaN
2016-05-24T00:00:00Z,13.68,13.74,13.68,13.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00001,NaN,NaN,NaN,NaN
2016-05-24T04:00:00Z,13.62,13.62,13.25,13.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00001,NaN,NaN,NaN,NaN
2016-05-24T12:00:00Z,13.14,13.14,13.14,13.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.00001,NaN,NaN,NaN,NaN
2016-05-24T16:00:00Z,13.14,13.15,12,12.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1579.47401,NaN,NaN,NaN,NaN
2016-05-24T20:00:00Z,12.57,13.11,12.4,12.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1161.76594,NaN,NaN,NaN,NaN
2016-05-25T00:00:00Z,13,13.18,12.61,12.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2484.36798,NaN,NaN,NaN,NaN
2016-05-25T04:00:00Z,12.96,12.96,12.51,12.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,835.0155,NaN,NaN,NaN,NaN
2016-05-25T08:00:00Z,12.68,12.97,12.38,12.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2787.67342,NaN,NaN,NaN,NaN
2016-05-25T12:00:00Z,12.41,12.66,11.93,12.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1083.43062,NaN,NaN,NaN,NaN
2016-05-25T16:00:00Z,12.25,12.65,12.23,12.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1182.1252,NaN,NaN,NaN,NaN
2016-05-25T20:00:00Z,12.58,12.89,12.45,12.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1324.57041,NaN,NaN,NaN,NaN
2016-05-26T00:00:00Z,12.61,12.95,12.61,12.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,510.47301,NaN,NaN,NaN,NaN
2016-05-26T04:00:00Z,12.95,12.95,12.5,12.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,697.32288,NaN,NaN,NaN,NaN
2016-05-26T08:00:00Z,12.44,12.44,12.38,12.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.53502,NaN,NaN,NaN,NaN
2016-05-26T12:00:00Z,12.36,12.36,12.18,12.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,282.43971,NaN,NaN,NaN,NaN
2016-05-26T16:00:00Z,12.34,12.7,12.15,12.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,919.55041,NaN,NaN,NaN,NaN
2016-05-26T20:00:00Z,12.42,12.78,12.42,12.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,545.57126,NaN,NaN,NaN,NaN
2016-05-27T00:00:00Z,12.47,12.47,12.06,12.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,983.6064,NaN,NaN,NaN,NaN
2016-05-27T04:00:00Z,12.07,12.07,11.25,11.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5395.1352,1090.9921865000001,NaN,NaN,NaN
2016-05-27T08:00:00Z,11.66,11.7,10.71,10.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1597.79542,1170.842621,NaN,NaN,NaN
2016-05-27T12:00:00Z,10.86,11.59,10.5,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2914.04719,1316.49498,NaN,NaN,NaN
2016-05-27T16:00:00Z,11,11.56,10.89,11.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2752.021,1454.0460295,NaN,NaN,NaN
2016-05-27T20:00:00Z,11.24,11.36,10.25,10.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5692.19963,1738.1560105,NaN,NaN,NaN
2016-05-28T00:00:00Z,11.3,11.36,10.7,10.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1428.52753,1730.6086865000002,NaN,NaN,NaN
2016-05-28T04:00:00Z,10.81,11.23,10.81,10.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6179.85506,1981.5131425000004,NaN,-0.7904804919870205,NaN
2016-05-28T08:00:00Z,11.1,11.19,10.73,10.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,840.76717,1899.333102,NaN,-0.785120574087637,NaN
2016-05-28T12:00:00Z,11.16,12.44,11.16,12.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1460.98462,1930.6315580000003,NaN,-0.6563044495329908,NaN
2016-05-28T16:00:00Z,12.25,12.3,11.42,12.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3058.44106,1944.1699400000002,NaN,-0.5463054408416514,NaN
2016-05-28T20:00:00Z,12.18,12.18,11.4,12.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2713.28928,2025.662873,NaN,-0.47463891903685074,NaN
2016-05-29T00:00:00Z,12.02,12.23,11.7,12.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1633.29173,2048.2211995,NaN,-0.4098900609956324,NaN
2016-05-29T04:00:00Z,11.82,12.19,11.81,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,350.588,1999.5220789999998,NaN,-0.35927611169273455,NaN
2016-05-29T08:00:00Z,12.1,12.19,12,12.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135.43956,1980.7704064999998,NaN,-0.3003702982879819,NaN
2016-05-29T12:00:00Z,12.19,12.19,11.98,12.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,171.0331,1954.4559175,0.2509536084366434,-0.25797548381658864,-0.508929092253232
2016-05-29T16:00:00Z,12.05,12.19,11.81,12.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,487.30308,1977.0943204999996,0.2354306381223048,-0.21464079460035101,-0.4500714327226558
2016-05-29T20:00:00Z,12.2,12.49,12.18,12.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,609.75044,1993.4598569999998,0.22703534289184157,-0.16627725410785388,-0.39331259699969545
2016-05-30T00:00:00Z,12.35,12.47,12,12.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,245.08677,1959.7366749999997,0.2051612262265633,-0.13686106421649136,-0.34202229044305466
2016-05-30T04:00:00Z,12.31,12.61,12.27,12.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400.23705,1952.4699645,0.20806492736755483,-0.08194113123361113,-0.29000605860116596
2016-05-30T08:00:00Z,12.59,12.61,12.23,12.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1996.73925,2003.1266070000001,0.19970720364954625,-0.04037205403923316,-0.2400792576887794
2016-05-30T12:00:00Z,12.25,12.61,12.22,12.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,737.54645,1770.2471695000004,0.18172128302131446,-0.01292765391213635,-0.1946489369334508
2016-05-30T16:00:00Z,12.49,12.64,12.36,12.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250.40741,1702.8777690000002,0.16652556351243536,0.013508017457093402,-0.15301754605534196
2016-05-30T20:00:00Z,12.5,12.88,12.41,12.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,505.57771,1582.4542950000002,0.17072649652324717,0.060390574598716995,-0.11033592192453016
2016-05-31T00:00:00Z,12.84,12.98,12.37,12.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,404.54768,1465.0806290000003,0.16605388306600838,0.09723143190798034,-0.06882245115802806
2016-05-31T04:00:00Z,12.59,12.8,12.57,12.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,122.0193,1186.5716125000004,0.1429224455580274,0.10983060578950621,-0.0330918397685212
2016-05-31T08:00:00Z,12.7,12.98,12.7,12.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,664.8601,1148.3882410000003,0.13910251574958257,0.140786304918457,0.0016837891688744402
2016-05-31T12:00:00Z,12.95,13.99,12.95,13.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1293.65841,904.0784085000005,0.19385676368977986,0.24400474378109926,0.05014798009131941
2016-05-31T16:00:00Z,13.95,14.04,13.52,13.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1827.96191,953.4381455000006,0.21755618408482158,0.3220932101973464,0.1045370261125248
2016-05-31T20:00:00Z,13.99,14.24,13.87,14.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1494.75711,955.1267700000005,0.23090182572638254,0.39316430827050297,0.16226248254412043
2016-06-01T00:00:00Z,14.15,14.43,13.87,14.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3307.80392,967.5949130000005,0.23780840015269852,0.4595229827349936,0.22171458258229507
2016-06-01T04:00:00Z,14.32,14.45,13.64,13.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2635.01111,963.6810045000004,0.19893171965901268,0.4703792321560609,0.27144751249704824
2016-06-01T08:00:00Z,14.09,14.22,13.52,13.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,616.13804,912.8233200000004,0.1406016758119274,0.4471996072619575,0.3065979314500301
2016-06-01T12:00:00Z,13.5,14.24,13.5,14.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,872.91548,938.9396940000004,0.12642277592036627,0.46462640135048794,0.33820362543012167
2016-06-01T16:00:00Z,14.06,14.19,13.75,13.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1161.79521,990.2574765000005,0.09506155468260313,0.45703056878337556,0.3619690141007724
2016-06-01T20:00:00Z,13.89,14.2,13.85,13.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1806.24619,1072.0181310000005,0.07031254578348572,0.44985969633012957,0.37954715054664384
2016-06-02T00:00:00Z,13.93,14.18,13.83,13.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1978.2121,1146.5635820000005,0.04254877460977746,0.43273311880886567,0.3901843441990882
