time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal
2013-05-19T00:00:00Z,3.1491,3.1491,3.1491,3.1491,NaN,NaN,2.15,NaN,NaN,NaN,NaN,NaN,12,NaN,NaN,NaN,NaN
2013-05-22T00:00:00Z,2.99,3.13,2.99,2.99,NaN,NaN,2.59,NaN,NaN,NaN,NaN,NaN,15.2,NaN,NaN,NaN,NaN
2013-05-23T00:00:00Z,3.13,3.3,3.05,3.05,NaN,NaN,2.37810101,NaN,NaN,NaN,NaN,NaN,205.56363636,NaN,NaN,NaN,NaN
2013-05-24T00:00:00Z,3.04,3.09,2.99,3.05,NaN,NaN,2.36,NaN,NaN,NaN,NaN,NaN,652.81,NaN,NaN,NaN,NaN
2013-05-25T00:00:00Z,3.05,3.29,2.88,3.05,NaN,NaN,2.2,NaN,NaN,NaN,NaN,NaN,344.6498562,NaN,NaN,NaN,NaN
2013-05-26T00:00:00Z,3.05,3.3,3.01,3.15,NaN,NaN,2.44,NaN,NaN,NaN,NaN,NaN,559.38033189,NaN,NaN,NaN,NaN
2013-05-27T00:00:00Z,3.15,3.15,3.15,3.15,NaN,NaN,3.01,NaN,NaN,NaN,NaN,NaN,7.39,NaN,NaN,NaN,NaN
2013-05-28T00:00:00Z,3.15,3.15,2.99,3.05,NaN,NaN,2.999,NaN,NaN,NaN,NaN,NaN,141.0524107,NaN,NaN,NaN,NaN
2013-05-29T00:00:00Z,3.05,3.07,2.91,3.069,3.09,NaN,2.09,NaN,NaN,NaN,NaN,NaN,50.022,NaN,NaN,NaN,NaN
2013-05-30T00:00:00Z,3.05,3.05,2.88,2.88,3.09,NaN,2.401,NaN,NaN,NaN,NaN,NaN,1004.604,NaN,NaN,NaN,NaN
2013-05-31T00:00:00Z,3.049,3.049,2.72,2.72,3.01,NaN,2.36,NaN,NaN,NaN,NaN,NaN,459.7189,NaN,NaN,NaN,NaN
2013-06-01T00:00:00Z,2.72,2.83,2.68,2.83,2.99,NaN,2.74,NaN,NaN,NaN,NaN,NaN,6.07,NaN,NaN,NaN,NaN
2013-06-02T00:00:00Z,2.83,2.83,2.7,2.83,2.99,NaN,2.35,NaN,NaN,NaN,NaN,NaN,387.52,NaN,NaN,NaN,NaN
2013-06-03T00:00:00Z,2.83,2.83,2.68,2.83,2.99,NaN,2.31,NaN,NaN,NaN,NaN,NaN,231.8707,NaN,NaN,NaN,NaN
2013-06-04T00:00:00Z,2.8,2.83,2.8,2.83,2.915,NaN,2.6002,NaN,NaN,NaN,NaN,NaN,131.1893,NaN,NaN,NaN,NaN
2013-06-05T00:00:00Z,2.9898,3.92,2.76,2.8,3.3,NaN,2.664,NaN,NaN,NaN,NaN,NaN,3026.3994,NaN,NaN,NaN,NaN
2013-06-06T00:00:00Z,2.8001,2.82,2.8,2.81,3.3,NaN,2.61,NaN,NaN,NaN,NaN,NaN,5.4625,NaN,NaN,NaN,NaN
2013-06-07T00:00:00Z,2.77,2.97,2.62,2.97,3.27,NaN,2.45,NaN,NaN,NaN,NaN,NaN,68.0161,NaN,NaN,NaN,NaN
2013-06-08T00:00:00Z,2.62,2.62,2.6,2.6,3.26,NaN,2.6599,NaN,NaN,NaN,NaN,NaN,206.268163,NaN,NaN,NaN,NaN
2013-06-09T00:00:00Z,2.6,2.6,2.31,2.31,3.115,NaN,2.3,NaN,NaN,2.9059049999999997,NaN,NaN,965.651837,424.0419567575,NaN,NaN,NaN
2013-06-10T00:00:00Z,2.5011,2.5011,2.25,2.25,3.085,NaN,2.3,NaN,NaN,2.86095,NaN,NaN,125.7,429.72695675750003,NaN,NaN,NaN
2013-06-11T00:00:00Z,2.55,2.55,2.31,2.4599,3.085,NaN,2.5,NaN,NaN,2.8344449999999997,NaN,NaN,112.25,434.5794567575,NaN,NaN,NaN
2013-06-12T00:00:00Z,2.3611,2.5,2.35,2.35,3.085,NaN,2.3501,NaN,NaN,2.7994449999999995,NaN,NaN,55.52799035,427.07767445699994,NaN,NaN,NaN
2013-06-13T00:00:00Z,2.35,2.98,2.25,2.4,3.085,NaN,2.65,NaN,NaN,2.7669449999999998,NaN,NaN,101.9286,399.53360445699997,NaN,NaN,NaN
2013-06-14T00:00:00Z,2.25,2.3,2.2,2.3,2.59,NaN,2.8,NaN,NaN,2.7294449999999997,NaN,NaN,69.2649,385.764356647,NaN,NaN,NaN
2013-06-15T00:00:00Z,2.14,2.25,2.13,2.16,2.5549999999999997,3.025,2.7,NaN,NaN,2.679945,NaN,NaN,45.1379,360.05223505249995,NaN,-0.2914959035106155,NaN
2013-06-16T00:00:00Z,2.14,2.15,2.092,2.15,2.536,3.0060000000000002,2.655,NaN,NaN,2.629945,NaN,NaN,71.322,363.24883505249994,NaN,-0.29616429617674456,NaN
2013-06-17T00:00:00Z,2.092,2.59,2.07,2.59,2.525,2.995,2.59,NaN,NaN,2.6069450000000005,NaN,NaN,20.43564986,357.21799701049997,NaN,-0.26134706198437563,NaN
2013-06-18T00:00:00Z,2.2,2.37810101,2.16,2.37810101,2.525,2.995,2.56,NaN,NaN,2.5724000505,NaN,NaN,66.04180713,358.01898736699997,NaN,-0.24799391118426461,NaN
2013-06-19T00:00:00Z,2.15,2.36,2.15,2.36,2.525,2.995,2.74,NaN,NaN,2.5464000505,NaN,NaN,52.2632,310.40194736699993,NaN,-0.23614985467495542,NaN
2013-06-20T00:00:00Z,2.16,2.36,2.1101001,2.2,2.525,2.995,2.83,NaN,NaN,2.5204000505,NaN,NaN,92.33450472,292.03272760299996,NaN,-0.23694268955028353,NaN
2013-06-21T00:00:00Z,2.1101001,3.39,2.08,2.44,2.73,2.995,2.82,NaN,NaN,2.5009000505000003,NaN,NaN,1749.5583762,379.20714641300003,NaN,-0.21571835573978193,NaN
