time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal
2016-08-17T00:00:00Z,3.7,3.7,3.62,3.62,NaN,NaN,3.81,NaN,NaN,NaN,NaN,NaN,10.31772,NaN,NaN,NaN,NaN
2016-08-18T00:00:00Z,3.62,3.7,3.62,3.7,NaN,NaN,3.83,NaN,NaN,NaN,NaN,NaN,1.00001,NaN,NaN,NaN,NaN
2016-08-19T00:00:00Z,3.7,4,3.7,4,NaN,NaN,3.85,NaN,NaN,NaN,NaN,NaN,201.5329,NaN,NaN,NaN,NaN
2016-08-21T00:00:00Z,4,4,4,4,NaN,NaN,3.81,NaN,NaN,NaN,NaN,NaN,0.24926,NaN,NaN,NaN,NaN
2016-08-22T00:00:00Z,3.99,3.99,3.99,3.99,NaN,NaN,3.82,NaN,NaN,NaN,NaN,NaN,0.62471,NaN,NaN,NaN,NaN
2016-08-23T00:00:00Z,3.99,5.49,3.61,3.95,NaN,NaN,3.87,NaN,NaN,NaN,NaN,NaN,5619.789,NaN,NaN,NaN,NaN
2016-08-24T00:00:00Z,3.95,3.96,3.61,3.79,NaN,NaN,3.8,NaN,NaN,NaN,NaN,NaN,5183.13692,NaN,NaN,NaN,NaN
2016-08-25T00:00:00Z,3.82,3.88,3.75,3.81,NaN,NaN,3.86,NaN,NaN,NaN,NaN,NaN,4985.64203,NaN,NaN,NaN,NaN
2016-08-26T00:00:00Z,3.81,3.9,3.77,3.84,4.55,NaN,3.82,NaN,NaN,NaN,NaN,NaN,2552.41642,NaN,NaN,NaN,NaN
2016-08-27T00:00:00Z,3.85,3.85,3.62,3.78,4.55,NaN,3.79,NaN,NaN,NaN,NaN,NaN,1150.7225,NaN,NaN,NaN,NaN
2016-08-28T00:00:00Z,3.78,3.78,3.62,3.78,4.55,NaN,3.83,NaN,NaN,NaN,NaN,NaN,1895.07911,NaN,NaN,NaN,NaN
2016-08-29T00:00:00Z,3.7,3.84,3.7,3.74,4.55,NaN,3.87,NaN,NaN,NaN,NaN,NaN,909.29405,NaN,NaN,NaN,NaN
2016-08-30T00:00:00Z,3.74,3.85,3.74,3.81,4.55,NaN,3.8,NaN,NaN,NaN,NaN,NaN,352.58087,NaN,NaN,NaN,NaN
2016-08-31T00:00:00Z,3.81,3.85,3.74,3.74,4.55,NaN,3.89,NaN,NaN,NaN,NaN,NaN,339.89847,NaN,NaN,NaN,NaN
2016-09-01T00:00:00Z,3.74,3.9,3.26,3.66,3.61,NaN,3.85,NaN,NaN,NaN,NaN,NaN,3631.15573,NaN,NaN,NaN,NaN
2016-09-02T00:00:00Z,3.67,4.35,3.67,3.84,3.8049999999999997,NaN,3.83,NaN,NaN,NaN,NaN,NaN,2725.27128,NaN,NaN,NaN,NaN
2016-09-03T00:00:00Z,3.84,3.99,3.8,3.88,3.8049999999999997,NaN,3.86,NaN,NaN,NaN,NaN,NaN,1734.61973,NaN,NaN,NaN,NaN
2016-09-04T00:00:00Z,3.99,4.08,3.85,4.02,3.8049999999999997,NaN,3.81,NaN,NaN,NaN,NaN,NaN,1144.96713,NaN,NaN,NaN,NaN
2016-09-05T00:00:00Z,4.01,4.07,3.94,3.96,3.8049999999999997,NaN,3.85,NaN,NaN,NaN,NaN,NaN,450.68717,NaN,NaN,NaN,NaN
2016-09-06T00:00:00Z,3.96,3.98,3.91,3.95,3.8049999999999997,NaN,3.83,NaN,NaN,3.843,NaN,NaN,644.21969,1676.6602349999998,NaN,NaN,NaN
2016-09-07T00:00:00Z,3.95,4.03,3.91,3.97,3.8049999999999997,NaN,3.83,NaN,NaN,3.8604999999999996,NaN,NaN,502.70366,1701.2795319999998,NaN,NaN,NaN
2016-09-08T00:00:00Z,3.97,4.03,3.95,4.01,3.8049999999999997,NaN,3.85,NaN,NaN,3.876,NaN,NaN,81.04273,1705.2816679999996,NaN,NaN,NaN
2016-09-09T00:00:00Z,3.97,4.02,3.94,3.96,3.8049999999999997,NaN,3.88,NaN,NaN,3.8739999999999997,NaN,NaN,395.95326,1715.0026859999998,NaN,NaN,NaN
2016-09-10T00:00:00Z,3.96,4,3.95,3.97,4.01,NaN,3.82,NaN,NaN,3.8724999999999996,NaN,NaN,19.29566,1715.9550060000001,NaN,NaN,NaN
2016-09-11T00:00:00Z,4,4.04,3.86,3.93,3.94,NaN,3.86,NaN,NaN,3.8695,NaN,NaN,1165.51426,1774.1994835000005,NaN,NaN,NaN
2016-09-12T00:00:00Z,3.93,3.96,3.77,3.88,3.925,4.375,3.86,NaN,NaN,3.8659999999999997,NaN,NaN,836.43634,1535.0318505000005,NaN,0.049934344472746695,NaN
2016-09-13T00:00:00Z,3.88,3.88,3.8,3.81,3.92,4.375,3.8,NaN,NaN,3.8669999999999995,NaN,NaN,335.81769,1292.6658890000003,NaN,0.037588539121033104,NaN
2016-09-14T00:00:00Z,3.85,3.85,3.8,3.83,3.9050000000000002,4.375,3.79,NaN,NaN,3.8679999999999994,NaN,NaN,62.00246,1046.4839105000005,NaN,0.029082981775718775,NaN
2016-09-15T00:00:00Z,3.83,3.95,3.81,3.85,3.9050000000000002,4.375,3.83,NaN,NaN,3.8684999999999987,NaN,NaN,596.04217,948.6651980000004,NaN,0.02368309517439604,NaN
2016-09-16T00:00:00Z,3.83,3.89,3.8,3.81,3.9050000000000002,4.375,3.8,NaN,NaN,3.8699999999999988,NaN,NaN,326.54129,907.4561375000005,NaN,0.015991638775360695,NaN
2016-09-17T00:00:00Z,3.88,3.88,3.81,3.82,3.9050000000000002,4.375,3.83,NaN,NaN,3.8719999999999986,NaN,NaN,213.26129,823.3652465000005,NaN,0.010581048847052799,NaN
2016-09-18T00:00:00Z,3.82,3.87,3.81,3.87,3.9050000000000002,3.8049999999999997,3.82,NaN,NaN,3.878499999999999,NaN,NaN,1268.13313,841.3072005000004,NaN,0.0102100048992666,NaN
2016-09-19T00:00:00Z,3.87,3.93,3.76,3.8,3.9,3.8049999999999997,3.93,NaN,NaN,3.877999999999999,NaN,NaN,1152.56862,881.3065880000001,NaN,0.004218902035339589,NaN
2016-09-20T00:00:00Z,3.85,4,3.8,3.86,3.88,3.8049999999999997,3.88,NaN,NaN,3.883999999999999,NaN,NaN,1888.36916,958.7301225000001,-0.016353826872730695,0.004263264155792257,0.020617091028522952
2016-09-21T00:00:00Z,3.81,6.72,3.61,3.82,5.165,4.99,3.9,NaN,NaN,3.8919999999999986,NaN,NaN,2314.92987,892.9188295,-0.015646830098751528,0.00105855340508354,0.016705383503835068
2016-09-22T00:00:00Z,3.76,5.05,3.76,3.79,5.165,4.99,3.9,NaN,NaN,3.889499999999999,NaN,NaN,2472.29206,880.2698684999999,-0.01645029523584484,-0.003857485540970984,0.012592809694873856
2016-09-23T00:00:00Z,3.79,4.2,3.77,3.83,5.165,4.99,3.79,NaN,NaN,3.886999999999999,NaN,NaN,768.70006,831.973885,-0.013653639648507626,-0.004474239865760676,0.00917939978274695
2016-09-24T00:00:00Z,4.06,4.06,3.83,3.87,5.165,4.99,3.8,NaN,NaN,3.8794999999999993,NaN,NaN,231.39189,786.295123,-0.008715984037561592,-0.001715580264205041,0.007000403773356551
2016-09-25T00:00:00Z,3.86,3.86,3.8,3.8,5.165,4.99,3.8,NaN,NaN,3.8714999999999997,4.005555958465176,3.7374440415348236,243.91494,775.9565115,-0.009695308685355212,-0.005118732083337463,0.004576576602017749
2016-09-26T00:00:00Z,3.84,4,3.79,3.89,5.165,4.99,3.84,NaN,NaN,3.8684999999999996,3.9980028957205693,3.73899710427943,822.08403,784.8497285000001,-0.004099020331595977,-0.0005471988124772231,0.003551821519118754
2016-09-27T00:00:00Z,3.88,3.88,3.79,3.85,5.165,5.165,3.88,NaN,NaN,3.8624999999999994,3.9834752040709684,3.7415247959290303,979.69426,808.6992585,-0.002961585622002568,-0.00015016050838445594,0.002811425113618112
2016-09-28T00:00:00Z,3.85,3.9,3.79,3.83,5.165,5.165,3.88,NaN,NaN,3.853499999999999,3.9543513757963358,3.7526486242036623,323.28229,820.8112365000001,-0.0033953968721683807,-0.0014328209765923638,0.001962575895576017
2016-09-29T00:00:00Z,3.81,3.88,3.81,3.86,5.165,5.165,3.85,NaN,NaN,3.848499999999999,3.9368798619596723,3.760120138040326,109.71613,806.4993800000001,-0.0015926715600728277,-0.00002826355451501783,0.0015644080055578098
2016-09-30T00:00:00Z,3.87,3.87,3.8,3.81,4.404999999999999,5.165,3.96,NaN,NaN,3.8404999999999996,3.910492856778553,3.770507143221446,1089.14071,859.9916325000002,-0.0035844133841510433,-0.0029161087246309947,0.0006683046595200488
2016-10-01T00:00:00Z,3.81,3.86,3.81,3.85,3.9850000000000003,5.165,4.02,NaN,NaN,3.8364999999999987,3.8935175411607688,3.7794824588392286,382.9323,820.8625345000003,-0.0020982839537787715,-0.0019545502827034156,0.00014373367107535593
2016-10-02T00:00:00Z,3.85,3.86,3.82,3.83,3.925,5.165,4.01,NaN,NaN,3.8339999999999987,3.8874415568638927,3.780558443136105,95.21299,783.8013670000003,-0.0023344749746217926,-0.0027743600472018848,-0.0004398850725800922
2016-10-03T00:00:00Z,3.83,3.94,3.83,3.83,3.895,5.165,4.06,NaN,NaN,3.8349999999999986,3.8873450093133712,3.782654990686626,787.89899,806.4054320000002,-0.002356127546758993,-0.0033850445060288337,-0.0010289169592698406
2016-10-04T00:00:00Z,3.83,3.9,3.81,3.85,3.895,5.165,3.95,NaN,NaN,3.8359999999999985,3.8886877594897222,3.783312240510275,2314.12344,919.0114810000002,-0.0009604531443097319,-0.0022294833896570054,-0.0012690302453472735
2016-10-05T00:00:00Z,3.81,3.91,3.79,3.88,3.865,5.165,3.98,NaN,NaN,3.8374999999999986,3.8933121850498935,3.7816878149501036,1121.28383,945.2735640000003,0.001890776494377965,0.0010944403726251828,-0.0007963361217527823
2016-10-06T00:00:00Z,3.84,3.86,3.78,3.82,3.86,5.165,4.12,NaN,NaN,3.8379999999999983,3.8929909083397582,3.7830090916602384,2211.69133,1039.5310660000002,-0.00024304541843003303,-0.0011001428947903236,-0.0008570974763602905
2016-10-07T00:00:00Z,3.82,3.87,3.8,3.86,3.86,5.165,4.19,NaN,NaN,3.8399999999999985,3.895136195008798,3.784863804991199,210.94634,1039.4153185000002,0.0009927777348622863,0.0003838746922175673,-0.000608903042644719
2016-10-08T00:00:00Z,3.86,3.88,3.8,3.86,3.86,5.165,3.82,4.15,NaN,3.8394999999999984,3.8937125446742216,3.785287455325775,449.02706,998.4600150000003,0.0017208759489345336,0.001542191893523448,-0.00017868405541108558
2016-10-09T00:00:00Z,3.86,3.86,3.8,3.8,3.86,5.165,3.89,4.1475,NaN,3.8394999999999984,3.8937125446742216,3.785287455325775,61.87987,943.9255775000004,-0.0017404081575818227,-0.002354194252388364,-0.0006137860948065414
2016-10-10T00:00:00Z,3.84,3.84,3.79,3.79,3.86,5.165,3.87,4.140000000000001,NaN,3.8359999999999985,3.893410800378051,3.778589199621946,507.31049,874.8726440000004,-0.004451219775333127,-0.00617781081397295,-0.0017265910386398233
2016-10-11T00:00:00Z,3.79,3.84,3.75,3.83,3.8449999999999998,5.165,3.91,4.140000000000001,NaN,3.8364999999999987,3.893517541160831,3.7794824588391664,939.69479,806.1108900000004,-0.0033485161306477194,-0.005912236201949472,-0.002563720071301753
2016-10-12T00:00:00Z,3.83,3.83,3.79,3.8,3.83,5.165,3.88,4.140000000000001,NaN,3.8369999999999984,3.8925337735081165,3.7814662264918804,361.49253,700.5709135000004,-0.004372985068360287,-0.008029951406752112,-0.0036569663383918248
2016-10-13T00:00:00Z,3.8,3.93,3.8,3.83,3.84,5.165,3.84,4.140000000000001,NaN,3.8369999999999984,3.8925337735081165,3.7814662264918804,2328.76979,778.5744000000004,-0.0028379934693749456,-0.007204458175110506,-0.004366464705735561
2016-10-14T00:00:00Z,3.83,3.92,3.82,3.82,3.84,5.165,3.98,3.855,NaN,3.8344999999999976,3.8883423625046043,3.780657637495391,41.2153,769.0655705000004,-0.0023254865785725274,-0.00727332292895122,-0.004947836350378693
2016-10-15T00:00:00Z,3.89,3.94,3.83,3.93,3.8449999999999998,5.165,3.8,3.8525,NaN,3.8409999999999984,3.9066962708230264,3.7753037291769704,95.75534,761.6575905000003,0.005182700160297613,0.0015305388499933237,-0.0036521613103042893
2016-10-16T00:00:00Z,3.94,3.94,3.86,3.88,3.8449999999999998,5.165,3.85,3.8425,NaN,3.840499999999998,3.9048350604263784,3.776164939573617,15.09414,721.3080960000003,0.006459413310710598,0.004422105328083958,-0.0020373079826266393
2016-10-17T00:00:00Z,3.86,3.94,3.82,3.9,3.8449999999999998,4.4,3.76,5.077500000000001,NaN,3.8429999999999986,3.9123108938050115,3.7736891061949858,282.14975,686.4308705000003,0.0082159462842665,0.008232624872706484,0.000016678588439985546
2016-10-18T00:00:00Z,3.84,3.91,3.8,3.9,3.8449999999999998,3.975,3.9,5.077500000000001,NaN,3.846499999999999,3.919787106642423,3.773212893357575,699.18333,705.2259225000004,0.00888606158645697,0.011124255571511199,0.0022381939850542286
2016-10-19T00:00:00Z,3.84,3.87,3.79,3.79,3.8449999999999998,3.905,3.86,5.077500000000001,NaN,3.842999999999999,3.9199675256196684,3.7660324743803297,1136.55919,756.5680755000003,0.001799906636425222,0.004488077280585756,0.002688170644160534
2016-10-20T00:00:00Z,3.79,3.81,3.78,3.8,3.86,3.875,3.92,5.077500000000001,NaN,3.842499999999999,3.9204422863407524,3.7645577136592454,260.07202,715.1146410000003,-0.0021222429851657566,0.00003536691270333847,0.002157609897869095
2016-10-21T00:00:00Z,3.8,3.81,3.75,3.8,3.8449999999999998,3.875,3.94,5.077500000000001,NaN,3.839999999999999,3.9200000000000834,3.7599999999999145,604.71018,726.2035350000003,-0.004488989416778848,-0.003453626873104465,0.001035362543674383
2016-10-22T00:00:00Z,3.79,3.88,3.75,3.84,3.8449999999999998,3.8449999999999998,3.86,5.077500000000001,NaN,3.8404999999999996,3.920368642157131,3.7606313578428683,1059.47699,774.4167350000002,-0.0031938326356562145,-0.002956928250895885,0.0002369043847603294
2016-10-23T00:00:00Z,3.84,3.89,3.7,3.88,3.8200000000000003,3.8200000000000003,3.87,5.165,NaN,3.842999999999999,3.9245107354893545,3.7614892645106437,1305.18123,800.2808470000002,0.0003359192683662371,0.0006568034702181258,0.0003208842018518887
