time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal
2019-02-26T00:00:00Z,0.338,0.338,0.3141,0.3161,NaN,NaN,0.3062,NaN,NaN,NaN,NaN,NaN,3156202.00284001,NaN,NaN,NaN,NaN
2019-02-27T00:00:00Z,0.3158,0.3173,0.299,0.3093,NaN,NaN,0.3012,NaN,NaN,NaN,NaN,NaN,3654392.00542002,NaN,NaN,NaN,NaN
2019-02-28T00:00:00Z,0.3093,0.3208,0.3055,0.3142,NaN,NaN,0.3013,NaN,NaN,NaN,NaN,NaN,10090006.00626001,NaN,NaN,NaN,NaN
2019-03-01T00:00:00Z,0.3142,0.328,0.3102,0.3151,NaN,NaN,0.3091,NaN,NaN,NaN,NaN,NaN,27817649.01439922,NaN,NaN,NaN,NaN
2019-03-02T00:00:00Z,0.3151,0.3175,0.3094,0.3135,NaN,NaN,0.3049,NaN,NaN,NaN,NaN,NaN,7399616.01394983,NaN,NaN,NaN,NaN
2019-03-03T00:00:00Z,0.3135,0.3154,0.3077,0.3095,NaN,NaN,0.3073,NaN,NaN,NaN,NaN,NaN,4982023.01268001,NaN,NaN,NaN,NaN
2019-03-04T00:00:00Z,0.3095,0.3108,0.297,0.3013,NaN,NaN,0.3105,NaN,NaN,NaN,NaN,NaN,7059452.01359985,NaN,NaN,NaN,NaN
2019-03-05T00:00:00Z,0.3013,0.3175,0.3,0.3141,NaN,NaN,0.3087,NaN,NaN,NaN,NaN,NaN,7112822.01319987,NaN,NaN,NaN,NaN
2019-03-06T00:00:00Z,0.3141,0.32,0.3088,0.3156,0.3175,NaN,0.3122,NaN,NaN,NaN,NaN,NaN,6301821.01341987,NaN,NaN,NaN,NaN
2019-03-07T00:00:00Z,0.3156,0.3185,0.3111,0.3116,0.3125,NaN,0.355,NaN,NaN,NaN,NaN,NaN,6505508.01326988,NaN,NaN,NaN,NaN
2019-03-08T00:00:00Z,0.3116,0.3141,0.303,0.3067,0.3125,NaN,0.3437,NaN,NaN,NaN,NaN,NaN,5503794.01353996,NaN,NaN,NaN,NaN
2019-03-09T00:00:00Z,0.3066,0.3173,0.3055,0.312,0.3125,NaN,0.331,NaN,NaN,NaN,NaN,NaN,6171296.01289985,NaN,NaN,NaN,NaN
2019-03-10T00:00:00Z,0.312,0.3155,0.3074,0.3115,0.3085,NaN,0.3636,NaN,NaN,NaN,NaN,NaN,3915201.01175007,NaN,NaN,NaN,NaN
2019-03-11T00:00:00Z,0.3116,0.3124,0.3057,0.3086,0.3085,NaN,0.3534,NaN,NaN,NaN,NaN,NaN,4884708.01209998,NaN,NaN,NaN,NaN
2019-03-12T00:00:00Z,0.3086,0.3099,0.3042,0.3084,0.3085,NaN,0.3633,NaN,NaN,NaN,NaN,NaN,5595157.01269991,NaN,NaN,NaN,NaN
2019-03-13T00:00:00Z,0.3084,0.339,0.306,0.3128,0.3195,NaN,0.3592,NaN,NaN,NaN,NaN,NaN,8246192.01257979,NaN,NaN,NaN,NaN
2019-03-14T00:00:00Z,0.3127,0.3148,0.3006,0.3096,0.3198,NaN,0.3502,NaN,NaN,NaN,NaN,NaN,5515213.01281986,NaN,NaN,NaN,NaN
2019-03-15T00:00:00Z,0.3097,0.3149,0.3083,0.3133,0.3198,NaN,0.3549,NaN,NaN,NaN,NaN,NaN,5725080.01371991,NaN,NaN,NaN,NaN
2019-03-16T00:00:00Z,0.3133,0.3216,0.313,0.318,0.3198,NaN,0.3285,NaN,NaN,NaN,NaN,NaN,7114468.01345977,NaN,NaN,NaN,NaN
2019-03-17T00:00:00Z,0.3177,0.318,0.3104,0.314,0.3198,NaN,0.3251,NaN,NaN,0.3117599999999999,NaN,NaN,3977939.01191007,7036426.961825888,NaN,NaN,NaN
2019-03-18T00:00:00Z,0.314,0.3188,0.3108,0.3135,0.3198,NaN,0.3262,NaN,NaN,0.31162999999999996,NaN,NaN,6120000.01245991,7184616.862306883,NaN,NaN,NaN
2019-03-19T00:00:00Z,0.3134,0.3159,0.311,0.3149,0.3198,NaN,0.33,NaN,NaN,0.31190999999999997,NaN,NaN,5212978.01262998,7262546.162667381,NaN,NaN,NaN
2019-03-20T00:00:00Z,0.3148,0.32,0.3019,0.317,0.3198,NaN,0.3193,NaN,NaN,0.31205,NaN,NaN,7421307.01279988,7129111.212994374,NaN,NaN,NaN
2019-03-21T00:00:00Z,0.317,0.3184,0.3021,0.3093,0.3198,NaN,0.326,NaN,NaN,0.31176,NaN,NaN,5917396.01300989,6034098.5629249085,NaN,NaN,NaN
2019-03-22T00:00:00Z,0.3093,0.312,0.3056,0.3099,0.3111,NaN,0.3359,NaN,NaN,0.31157999999999997,NaN,NaN,5267255.01313992,5927480.512884413,NaN,NaN,NaN
2019-03-23T00:00:00Z,0.3099,0.3115,0.308,0.3102,0.31174999999999997,0.318,0.3363,NaN,NaN,0.311615,NaN,NaN,2745056.01157006,5815632.162828916,NaN,0.00020967324608217597,NaN
2019-03-24T00:00:00Z,0.3102,0.3102,0.3033,0.3062,0.31174999999999997,0.318,0.3319,NaN,NaN,0.31185999999999997,NaN,NaN,3244213.01153005,5624870.212725425,NaN,-0.0002791259252414302,NaN
2019-03-25T00:00:00Z,0.3061,0.3064,0.298,0.3012,0.309,0.318,0.3287,NaN,NaN,0.31121499999999996,NaN,NaN,5377736.01205994,5538115.912668429,NaN,-0.0010577677155919063,NaN
2019-03-26T00:00:00Z,0.3006,0.3017,0.2921,0.3013,0.30605000000000004,0.31555,0.3223,NaN,NaN,0.3105,NaN,NaN,4480541.01261002,5447051.912627937,NaN,-0.0016477831614153393,NaN
2019-03-27T00:00:00Z,0.3008,0.311,0.2985,0.3091,0.30605000000000004,0.31555,0.3245,NaN,NaN,0.31037499999999996,NaN,NaN,6151646.01320992,5429358.812624939,NaN,-0.0014690455971868022,NaN
2019-03-28T00:00:00Z,0.3094,0.3094,0.3031,0.3049,0.30605000000000004,0.31555,0.3206,NaN,NaN,0.310285,NaN,NaN,4176813.01280007,5363009.762587944,NaN,-0.0016473105186922132,NaN
2019-03-29T00:00:00Z,0.3046,0.3092,0.3034,0.3073,0.30525,0.31555,0.3014,NaN,NaN,0.31004999999999994,NaN,NaN,6940110.01372982,5401450.462629443,NaN,-0.001576751006838184,NaN
2019-03-30T00:00:00Z,0.3073,0.3175,0.3065,0.3105,0.3048,0.31555,0.2865,NaN,NaN,0.30999999999999994,NaN,NaN,6747371.01295981,5543058.962689931,NaN,-0.001248230010293394,NaN
2019-03-31T00:00:00Z,0.3101,0.311,0.307,0.3087,0.3048,0.31555,0.2946,NaN,NaN,0.310005,NaN,NaN,3006778.01234004,5449162.462701933,-0.000027256959251277394,-0.0011202066653048237,-0.0010929497060535463
2019-04-01T00:00:00Z,0.3086,0.3141,0.307,0.3122,0.3048,0.31555,0.2921,NaN,NaN,0.31019499999999994,NaN,NaN,5534689.01327996,5446139.062730935,0.00029201151871424257,-0.0007279353076607431,-0.0010199468263749857
2019-04-02T00:00:00Z,0.3121,0.3628,0.311,0.355,0.32745,0.32745,0.291,NaN,NaN,0.31230499999999994,NaN,NaN,23978897.01431965,6232774.312817928,0.003217509761028988,0.0030019403749112494,-0.00021556938611773857
2019-04-03T00:00:00Z,0.355,0.3882,0.3155,0.3437,0.34015,0.34015,0.288,NaN,NaN,0.31400999999999996,NaN,NaN,37796973.01432956,7846862.312893413,0.004163313908441794,0.004988572999434504,0.0008252590909927102
2019-04-04T00:00:00Z,0.3437,0.35,0.3252,0.331,0.34335,0.34015,0.3052,NaN,NaN,0.314895,NaN,NaN,16133914.01425022,8367304.012919928,0.003719869770049498,0.005475096303554583,0.0017552265335050849
2019-04-05T00:00:00Z,0.3314,0.38,0.3307,0.3636,0.34565,0.34015,0.2996,NaN,NaN,0.317175,0.35110226779450326,0.2832477322054967,27095340.0143592,9366347.6129649,0.005311379630099545,0.008394451071129516,0.003083071441029971
2019-04-06T00:00:00Z,0.3636,0.3655,0.3477,0.3534,0.3458,0.34015,0.296,NaN,NaN,0.31914499999999996,0.35650768057835414,0.2817823194216458,14435694.01393007,9889235.3630659,0.00535142793609925,0.009772356361154033,0.004420928425054783
2019-04-07T00:00:00Z,0.353,0.3664,0.3507,0.3633,0.34735,0.34015,0.3021,NaN,NaN,0.32163499999999995,0.36352448674787113,0.27974551325212876,15231020.01406011,10344786.36314591,0.005687488854434068,0.011530289493097368,0.0058428006386633
2019-04-08T00:00:00Z,0.3636,0.3727,0.35,0.3592,0.3476,0.34015,0.2998,NaN,NaN,0.32384999999999997,0.36866359168823715,0.2790364083117628,17530578.0140403,10960666.363216426,0.005285057643802581,0.012449122693416526,0.007164065049613945
2019-04-09T00:00:00Z,0.3592,0.3592,0.348,0.3502,0.3476,0.34015,0.2972,NaN,NaN,0.32550999999999997,0.3716263268268414,0.27939367317315855,9478655.01362982,11063533.763257923,0.004116097714618386,0.012309187192886928,0.008193089478268542
2019-04-10T00:00:00Z,0.3501,0.3615,0.3485,0.3549,0.3496,0.34015,0.3,NaN,NaN,0.3277899999999999,0.37497181429322235,0.2806081857067775,12654049.01364003,11400366.41328943,0.0033928918208862967,0.012434204254376413,0.009041312433490116
2019-04-11T00:00:00Z,0.3549,0.3551,0.3227,0.3285,0.35185,0.34015,0.2935,NaN,NaN,0.32871999999999996,0.3751823976996448,0.2822576023003551,16097634.01415025,11941885.363339946,0.0009945251373748003,0.010284468855208617,0.009289943717833817
2019-04-12T00:00:00Z,0.329,0.3313,0.317,0.3251,0.34850000000000003,0.34015,0.2975,NaN,NaN,0.32946499999999995,0.37518761038042336,0.28374238961957654,11447538.01357005,12377009.463439945,-0.0008625339874038136,0.008211776233579049,0.009074310220982863
