time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal,RSI,%K,%D
2017-03-29T00:00:00Z,1,1.2,0.999,0.9991,NaN,NaN,0.915,NaN,NaN,NaN,NaN,NaN,70301.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-03-30T00:00:00Z,1,1.001,0.999,0.999,NaN,NaN,0.904,NaN,NaN,NaN,NaN,NaN,211282.38660921,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-03-31T00:00:00Z,1.0004,1.0049,0.998,1.0009,NaN,NaN,0.9201,NaN,NaN,NaN,NaN,NaN,712855.28572191,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-04-01T00:00:00Z,1.0009,1.001,0.9901,0.9983,NaN,NaN,0.92,NaN,NaN,NaN,NaN,NaN,634403.26057005,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-04-02T00:00:00Z,0.9983,1.001,0.9946,1.0008,NaN,NaN,0.94,NaN,NaN,NaN,NaN,NaN,881231.83230676,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-04-03T00:00:00Z,0.9906,1,0.9906,0.9991,NaN,NaN,0.931,NaN,NaN,NaN,NaN,NaN,216775.8783859,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-04-04T00:00:00Z,1,1.001,0.999,1,NaN,NaN,0.935,NaN,NaN,NaN,NaN,NaN,321826.1020891,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-04-05T00:00:00Z,1.0008,1.0014,0.9995,1.0014,NaN,NaN,0.9156,NaN,NaN,NaN,NaN,NaN,301618.27966025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-04-06T00:00:00Z,1.0001,1.002,0.9996,0.9996,1.09505,NaN,0.9283,NaN,NaN,NaN,NaN,NaN,531289.91170605,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-04-07T00:00:00Z,0.9996,1,0.9991,0.9991,0.9974999999999999,NaN,0.9347,NaN,NaN,NaN,NaN,NaN,331634.38937145,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-04-08T00:00:00Z,0.9999,1,0.9902,0.999,0.9974999999999999,NaN,0.959,NaN,NaN,NaN,NaN,NaN,506829.50761697,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-04-09T00:00:00Z,0.9987,0.9989,0.9902,0.998,0.99605,NaN,0.979,NaN,NaN,NaN,NaN,NaN,52801.0724,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-04-10T00:00:00Z,0.9931,0.9977,0.99,0.9958,0.996,NaN,0.983,NaN,NaN,NaN,NaN,NaN,79769.31720675,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-04-11T00:00:00Z,0.9967,0.9983,0.9942,0.9974,0.996,NaN,0.9281,NaN,NaN,NaN,NaN,NaN,177044.79085826,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-04-12T00:00:00Z,0.9973,0.9973,0.9871,0.9932,0.99455,NaN,0.9711,NaN,NaN,NaN,NaN,NaN,234103.03194144,NaN,NaN,NaN,NaN,36.88888888888871,NaN,NaN
2017-04-13T00:00:00Z,0.9934,0.9954,0.9902,0.9939,0.99455,NaN,0.97,NaN,NaN,NaN,NaN,NaN,205286.96689724,NaN,NaN,NaN,NaN,38.93483294740318,25.331906545389824,NaN
2017-04-14T00:00:00Z,0.9934,0.996,0.9689,0.9899,0.9854499999999999,NaN,0.994,NaN,NaN,NaN,NaN,NaN,71651.49719993,NaN,NaN,NaN,NaN,32.459322429410776,45.30533962456309,NaN
2017-04-15T00:00:00Z,0.9689,0.9899,0.9676,0.9896,0.9838,NaN,0.9725,NaN,NaN,NaN,NaN,NaN,14921.71463799,NaN,NaN,NaN,NaN,32.02906741766613,55.199948108144646,41.94573142603252
2017-04-16T00:00:00Z,0.9896,0.9896,0.9515,0.9515,0.97575,NaN,0.9811,NaN,NaN,NaN,NaN,NaN,12411.71794649,NaN,NaN,NaN,NaN,11.386475818607238,42.4658657111408,47.65705114794952
2017-04-17T00:00:00Z,0.9697,0.9698,0.9211,0.9392,0.96,NaN,0.9778,NaN,NaN,0.99224,NaN,NaN,38750.20588808,280339.4284506915,NaN,NaN,NaN,9.302140291611408,28.775596247640426,42.1471366889753
2017-04-18T00:00:00Z,0.94,0.9628,0.9207,0.945,0.9595,NaN,0.98,NaN,NaN,0.989535,NaN,NaN,39253.07677964,278787.0112896735,NaN,NaN,NaN,17.016138089557145,17.42086642127236,29.554109460017873
2017-04-19T00:00:00Z,0.945,0.9549,0.9372,0.946,0.9595,NaN,0.9773,NaN,NaN,0.9868850000000002,NaN,NaN,28868.05465155,269666.29469179054,NaN,NaN,NaN,18.30625178090324,27.793970152309658,24.663477607074157
2017-04-20T00:00:00Z,0.95,0.9549,0.92,0.949,0.95865,NaN,0.9897,NaN,NaN,0.9842900000000002,NaN,NaN,76285.45377014,237837.80309420204,NaN,NaN,NaN,22.213273072443286,32.4195366953669,25.87812442298298
2017-04-21T00:00:00Z,0.949,0.95,0.9,0.9363,0.948,NaN,0.9766,NaN,NaN,0.9811900000000001,NaN,NaN,61116.51616898,209173.46587414853,NaN,NaN,NaN,18.236990220679658,34.556437064370606,31.589981304015726
2017-04-22T00:00:00Z,0.9363,0.95,0.915,0.915,0.948,NaN,0.9799,NaN,NaN,0.9769000000000002,NaN,NaN,118033.89277269,171013.56889744505,NaN,NaN,NaN,13.781296292072398,29.238945062352517,32.071639607363345
2017-04-23T00:00:00Z,0.911,0.94,0.901,0.915,0.94495,1.05,0.9983,NaN,NaN,0.9726950000000002,NaN,NaN,76407.64354803,163995.15715555154,NaN,-0.029762173034325934,NaN,13.781296292072398,22.24208171884628,28.679154615189805
2017-04-24T00:00:00Z,0.912,0.9286,0.901,0.915,0.9448000000000001,0.95245,0.99,NaN,NaN,0.9684450000000002,NaN,NaN,79087.79761689,151858.24193194104,NaN,-0.030279892633252814,NaN,13.781296292072398,15.228551708673344,22.236526163290716
2017-04-25T00:00:00Z,0.9149,0.925,0.89,0.904,0.9299,0.9474499999999999,0.9956,NaN,NaN,0.9635750000000002,NaN,NaN,100966.58005748,141825.65695180252,NaN,-0.031217936277617153,NaN,11.905159368871622,14.522116742624,17.33091672338121
2017-04-26T00:00:00Z,0.9195,0.9367,0.903,0.9201,0.9264,0.946,1,NaN,NaN,0.9596000000000002,NaN,NaN,52901.49426262,117906.23607963102,NaN,-0.030312780314909804,NaN,27.468977133610096,18.901055557828382,16.21724133637525
2017-04-27T00:00:00Z,0.9286,0.937,0.9199,0.92,0.92245,0.946,0.999,NaN,NaN,0.9556450000000003,NaN,NaN,47574.71551114,103703.25238661552,NaN,-0.029266144955923612,NaN,27.436554071006924,23.24854783215227,18.89057337753489
2017-04-28T00:00:00Z,0.92,0.9649,0.9199,0.94,0.92745,0.946,1.01,NaN,NaN,0.9526950000000005,NaN,NaN,75782.59961152,82150.90698634302,NaN,-0.026517172581151827,NaN,42.14500906425594,35.58272108586572,25.91077482528213
2017-04-29T00:00:00Z,0.94,0.9524,0.931,0.931,0.92745,0.946,1,NaN,NaN,0.9493450000000004,NaN,NaN,25576.83049274,80789.69489098003,NaN,-0.024779178013098035,NaN,38.37537663099193,39.838865159013665,32.890044692343885
2017-04-30T00:00:00Z,0.9395,0.9529,0.912,0.935,0.92745,0.946,1.0235,NaN,NaN,0.9463050000000004,NaN,NaN,74274.62214633,80514.96013795903,NaN,-0.022816029243106106,NaN,40.90527868676197,49.20189537606574,41.54116054031505
2017-05-01T00:00:00Z,0.9351,0.94,0.9151,0.9156,0.92745,0.946,1.0044,NaN,NaN,0.9422150000000006,NaN,NaN,34194.8771429,73372.46445219104,0.004936352925247769,-0.02256551634076942,-0.02750186926601719,33.68283054387449,43.9115137616966,44.317424765592
2017-05-02T00:00:00Z,0.9158,0.94,0.9121,0.9283,0.92745,0.9450000000000001,1.0025,NaN,NaN,0.9389700000000005,NaN,NaN,57347.60792642,64534.69325144003,0.0051223088097268575,-0.021098983253858616,-0.026221292063585474,41.02402728976834,47.23490970416697,46.78277294730977
2017-05-03T00:00:00Z,0.9345,0.948,0.9212,0.9347,0.92745,0.9450000000000001,1.0395,NaN,NaN,0.9360100000000005,NaN,NaN,76277.47503442,58084.21865829903,0.005617830026507151,-0.019199004530451536,-0.024816834556958687,44.366284607671226,48.331108144192235,46.492510536685266
2017-05-04T00:00:00Z,0.9357,0.9639,0.9155,0.959,0.9339500000000001,0.94445,1.02,NaN,NaN,0.9344650000000005,NaN,NaN,198890.15237901,64446.15141725303,0.00741093676663878,-0.015553163598660213,-0.022964100365298994,54.832737495542425,67.64574988874053,54.403922579033235
2017-05-05T00:00:00Z,0.9567,0.98,0.9306,0.979,0.946,0.94415,1.0571,NaN,NaN,0.9339350000000005,NaN,NaN,196708.9251175,73535.51194122853,0.009632040377726397,-0.010924049893140997,-0.020556090270867394,61.28801994218079,83.56376403105372,66.51354068799549
2017-05-06T00:00:00Z,0.979,0.9929,0.955,0.983,0.95245,0.94415,1.04,NaN,NaN,0.9355100000000005,0.9762959730790044,0.8947240269209966,56413.19022726,75735.58555526703,0.010961934224894186,-0.006853672489749663,-0.01781560671464385,62.4440907622937,93.79690935861065,81.6688077594683
