,BTC_open,BTC_close,BTC_vol,ETH_open,ETH_close,ETH_vol,XRP_open,XRP_close,XRP_vol
19/05/2017,1941.9,1966.5,23001.54277,98.55,124.4,257956.3629,0.37999,0.32498,2130933.009
20/05/2017,1966.5,2059.3,21690.02239,124.49,123.03,122882.3714,0.32499,0.34716,3608873.129
21/05/2017,2059.3,2026.6,17221.87868,123.49,146.14,220184.3085,0.347,0.327,2597806.776
22/05/2017,2027,2087.3,57231.82424,146.14,154.92,473706.4544,0.327,0.29717,6474949.239
23/05/2017,2087.3,2249.6,22521.55914,155.16,168.24,144988.8586,0.29912,0.32158,3255225.478
24/05/2017,2249.2,2395.5,29620.82784,168.25,183.88,184596.6779,0.32,0.2886,4288168.025
25/05/2017,2395.5,2268.1,55075.88172,183.88,168.71,246730.4767,0.2886,0.2382,8004757.921
26/05/2017,2268.2,2125.9,39694.88825,168.73,152.8,186150.5362,0.2382,0.259,6493159.055
27/05/2017,2126,1980.2,47132.38673,153.5,149.99,362274.189,0.25881,0.20142,9369145.621
28/05/2017,1979.9,2056.9,25758.21791,150.35,161.91,184110.4837,0.20191,0.21631,5838709.807
29/05/2017,2056.8,2207.4,16455.47156,161.48,189.99,135112.8216,0.21631,0.22499,3998030.989
30/05/2017,2207,2146.7,21448.6335,188.1,224.69,216873.2004,0.22405,0.19823,3942879.577
31/05/2017,2146.8,2191.825454,21235.80538,224.78,218.34,167110.3699,0.19762,0.23757,6349241.615
1/06/2017,2191.600755,2312,18959.51293,218.41,211.4,129862.1335,0.236,0.32048,16032858.7
2/06/2017,2311.9,2405.9,12549.64323,211.4,214.77,43618.18026,0.32406,0.28406,6283984.719
3/06/2017,2404.7,2461,10767.96191,214.6,217.01,27501.56424,0.28397,0.28057,3199897.027
4/06/2017,2461.6,2488.2,11880.38342,217.01,241.06,107651.3055,0.28379,0.28842,4488245.92
5/06/2017,2488.2,2636.9,15390.43178,241.06,242.16,57896.68799,0.28842,0.28304,1975113.378
6/06/2017,2636.7,2844.6,42676.3664,242.1,261.89,117903.1087,0.2846,0.28112,6718638.42
7/06/2017,2844.7,2644,22094.38823,261.89,250.7,72507.02069,0.28011,0.2701,3658666.443
8/06/2017,2644.1,2781.5,16934.25045,250.99,256.95,42085.69599,0.27009,0.28249,2288428.196
9/06/2017,2783.2,2809,9521.116767,257.02,278.41,77593.31568,0.28426,0.28032,2379963.779
10/06/2017,2809,2806,16131.16168,278.82,325.88,161667.8691,0.28036,0.251,5036157.216
11/06/2017,2810.6,2941.8,19010.08284,325.88,336.33,144037.0022,0.251,0.26812,4243778.504
12/06/2017,2938.8,2569.6,48244.45424,336.24,386.9,336162.1446,0.27,0.23705,9026799.17
13/06/2017,2569,2677.1,23170.0059,386.9,382.7,126829.4551,0.23986,0.2597,3645353.141
14/06/2017,2677.1,2394.3,34700.57733,382.7,335.95,170271.292,0.26,0.25418,7789503.938
15/06/2017,2393.3,2377.5,55813.33614,336.91,338.7,328730.0818,0.25585,0.24095,3947695.922
16/06/2017,2378.7,2437.5,22392.20746,338.99,348.44,99690.26874,0.2385,0.24599,2175500.315
17/06/2017,2437.5,2610.1,16637.61754,349,364.56,62825.85135,0.24601,0.257,3964957.759
18/06/2017,2610,2491.4,19988.11425,364.57,348.88,81001.72516,0.257,0.26308,3994007.114
19/06/2017,2491.5,2582,13717.65859,348.83,355.5,49863.47354,0.264,0.28066,2812101.637
20/06/2017,2582,2715.3,20547.51837,355.5,344.15,98296.63629,0.28066,0.301,8805323.891
21/06/2017,2713.6,2624.4,24533.84287,344.15,321.66,184037.182,0.29983,0.2691,4723583.149
22/06/2017,2621.9,2672.8,15181.54911,320.03,320.94,102267.0892,0.2691,0.2753,2745498.272
23/06/2017,2672.8,2674.9,8139.207078,320.48,324.37,30249.96422,0.2758,0.291,2893659.556
24/06/2017,2673.1,2502.6,16769.8491,324.52,296.89,55907.4887,0.29071,0.26901,4036331.609
25/06/2017,2504.9,2483.3,18137.01213,296.83,277,145417.3631,0.26968,0.255,2677183.848
26/06/2017,2483,2393.6,36363.67255,276.64,251.3,389169.7187,0.2557,0.24201,7477974.247
27/06/2017,2393.5,2521.2,33482.96105,251,279,312874.2334,0.24201,0.25794,4938016.268
28/06/2017,2521.2,2518.2,21827.13197,279,311.62,260466.27,0.25794,0.263,3326949.026
29/06/2017,2518.5,2472.4,12961.95237,312.4,285.3,177922.5989,0.26297,0.25019,2075640.757
30/06/2017,2472.3,2420.6,10401.06824,286.17,275.62,110679.5736,0.24997,0.24216,2119465.482
1/07/2017,2420.6,2346.2,15078.36494,276.17,255,205478.7627,0.2438,0.23252,1672767.305
2/07/2017,2346.1,2445.1,12018.57465,255,277.64,140024.9493,0.23221,0.24662,1351885.012
3/07/2017,2445.1,2524,16139.95034,277.24,273.99,96308.88144,0.24662,0.25064,3120909.589
4/07/2017,2525.7,2579.9,15746.22101,273.97,266.68,121608.6927,0.2502,0.246,1689291.745
5/07/2017,2579.9,2598.6,13529.04456,266.46,264.77,125024.8283,0.246,0.24891,2147110.944
6/07/2017,2598.5,2593.2,9799.241101,264.71,265.35,68656.13864,0.25,0.24857,1579769.741
7/07/2017,2592.9,2479.3,17684.01876,265.35,238.38,142556.409,0.24857,0.22741,3397497.137
8/07/2017,2479.4,2542,9695.566666,238.39,245.23,104549.107,0.22741,0.23,3768598.196
9/07/2017,2542,2477.9,7783.158004,245.06,234.97,57685.2435,0.23,0.22401,1256072.754
10/07/2017,2480.5,2318.3,28087.99805,235.44,202,288012.4155,0.22383,0.18556,6290978.221
11/07/2017,2318.3,2283.8,33052.19044,201.98,188.63,446914.1273,0.186,0.17492,14101812.09
12/07/2017,2285.5,2375.6,21670.26048,188.22,223.92,312520.2952,0.17319,0.19456,7330791.007
13/07/2017,2374.2,2330.1,18420.25303,223.94,205,241090.0002,0.1962,0.1892,3735659.13
14/07/2017,2330.1,2206.5,27733.30913,204.99,196.49,277907.6774,0.19026,0.18248,3260932.649
15/07/2017,2206.5,1978.6,41668.0077,196.68,170.15,198664.121,0.1837,0.17255,3785017.29
16/07/2017,1978.5,1925,52991.93966,170.21,157.4,603868.0836,0.1724,0.14707,13767657.5
17/07/2017,1925,2220,40435.49264,157.4,190.16,414544.4052,0.14873,0.17208,8257615.024
18/07/2017,2220,2302.8,44159.33564,190.16,226.56,720338.2998,0.173,0.17816,3827882.212
19/07/2017,2300.4,2253.4,35709.77343,226.61,194.63,666127.8861,0.17805,0.16259,3904395.108
20/07/2017,2253.3,2865.1,83333.96792,194.63,227.29,604117.1493,0.16259,0.18942,5098031.665
21/07/2017,2874.4,2659,56765.99968,227.3,216.11,241721.2816,0.19,0.18351,4018393.42
22/07/2017,2659.7,2844.7,35162.07622,216.09,232.01,152109.4272,0.1833,0.19764,5001855.215
23/07/2017,2844.7,2750.1,34714.22909,232.41,228.15,117572.8229,0.1979,0.1974,6440578.333
24/07/2017,2749.2,2769.7,20695.51603,228.22,226.59,101490.4358,0.19701,0.19149,2549462.545
25/07/2017,2769.7,2560.9,56100.38384,226.63,202.7,310194.0693,0.19263,0.17344,5837549.683
26/07/2017,2560.9,2527.73812,34182.49179,202.88,203.33,196234.9458,0.17479,0.173,3569421.059
27/07/2017,2527.73812,2664.6,31310.77712,203.33,202.54,117469.7942,0.173,0.172,2411018.731
28/07/2017,2664.6,2784.8,40385.72797,202.55,191.2,138763.0672,0.17277,0.16326,3544333.672
29/07/2017,2784.9,2713.1,24035.13998,191.41,206.76,241950.7985,0.16348,0.17011,2524893.859
30/07/2017,2713.3,2748.2,34338.29588,206.77,195.31,149618.0563,0.16941,0.16416,1994911.768
31/07/2017,2748.2,2854.3,27528.80061,195.3,200.81,124024.7041,0.1619,0.164,2621221.094
